t,count
1554674942,10
1554674952,24
1554674962,38
1554674972,50
1554674982,64
1554674992,77
1554675002,89
1554675012,102
1554675022,115
1554675032,128
1554675042,142
1554675052,156
1554675062,168
1554675072,179
1554675082,197
1554675092,208
1554675102,224
1554675112,239
1554675122,249
1554675132,261
1554675142,272
1554675152,285
1554675162,299
1554675172,311
1554675182,321
1554675192,333
1554675202,345
1554675212,356
1554675222,369
1554675232,381
1554675242,393
1554675252,405
1554675262,416
1554675272,423
1554675284,432
1554675670,11
1554675680,24
1554675690,36
1554675700,49
1554675710,62
1554675720,75
1554675730,86
1554675740,100
1554675750,112
1554675760,125
1554675770,140
1554675780,153
1554675790,165
1554675800,177
1554675810,193
1554675820,206
1554675830,221
1554675840,235
1554675850,246
1554675860,257
1554675870,269
1554675880,282
1554675890,296
1554675900,307
1554675910,319
1554675920,331
1554675930,343
1554675940,353
