t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825130,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825140,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825150,1,347,347.000000,347,0.000000,347.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825160,1,347,347.000000,347,0.000000,347.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825170,1,347,347.000000,347,0.000000,347.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825180,1,347,347.000000,347,0.000000,347.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825190,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825200,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825210,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825220,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825230,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825240,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825250,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825260,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825270,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825280,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825290,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825300,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825310,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825320,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825330,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825340,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825350,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825360,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825370,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825380,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825390,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825400,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825410,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825420,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825430,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825440,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
1554825450,2,347,287.917579,254,44.765307,254.000000,347.000000,347.000000,347.000000,347.000000,347.000000
