t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825120,2,8,7.492501,7,0.499944,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000
1554825130,5,174,44.344510,7,65.572111,8.000000,23.000000,174.000000,174.000000,174.000000,174.000000
1554825140,10,785,225.993004,2,308.118377,23.000000,370.000000,785.000000,785.000000,785.000000,785.000000
1554825150,15,785,168.109118,2,267.918368,7.000000,370.000000,785.000000,785.000000,785.000000,785.000000
1554825160,20,785,186.753883,1,280.856591,7.000000,370.000000,771.000000,785.000000,785.000000,785.000000
1554825170,24,785,176.312071,1,258.228154,7.000000,365.000000,771.000000,785.000000,785.000000,785.000000
1554825180,29,785,134.721443,1,236.036741,6.000000,185.000000,771.000000,785.000000,785.000000,785.000000
1554825190,34,957,147.674870,1,275.474070,7.000000,185.000000,785.000000,957.000000,957.000000,957.000000
1554825200,38,957,123.811053,1,256.441921,6.000000,16.000000,785.000000,957.000000,957.000000,957.000000
1554825210,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825220,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825230,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825240,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825250,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825260,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825270,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825280,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825290,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825300,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825310,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825320,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825330,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825340,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825350,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825360,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825370,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825380,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825390,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825400,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825410,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825420,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825430,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825440,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
1554825450,41,957,123.347636,1,246.320617,6.000000,23.000000,771.000000,957.000000,957.000000,957.000000
