t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825130,4,16,12.094822,2,6.018494,15.000000,16.000000,16.000000,16.000000,16.000000,16.000000
1554825140,7,44,20.860551,2,16.833526,16.000000,44.000000,44.000000,44.000000,44.000000,44.000000
1554825150,11,44,30.399710,2,17.212949,44.000000,44.000000,44.000000,44.000000,44.000000,44.000000
1554825160,15,99,35.805845,2,25.064093,44.000000,44.000000,99.000000,99.000000,99.000000,99.000000
1554825170,20,226,43.315000,2,54.775324,28.000000,44.000000,226.000000,226.000000,226.000000,226.000000
1554825180,25,453,57.018355,2,105.124123,22.000000,44.000000,453.000000,453.000000,453.000000,453.000000
1554825190,29,453,51.530125,2,94.666349,25.000000,44.000000,226.000000,453.000000,453.000000,453.000000
1554825200,34,453,65.285668,1,116.653980,25.000000,44.000000,421.000000,453.000000,453.000000,453.000000
1554825210,37,453,58.258649,1,109.821619,21.000000,44.000000,421.000000,453.000000,453.000000,453.000000
1554825220,41,453,51.250249,1,101.220815,19.000000,39.000000,421.000000,453.000000,453.000000,453.000000
1554825230,46,810,91.203326,1,187.314942,19.000000,44.000000,453.000000,810.000000,810.000000,810.000000
1554825240,50,810,91.731036,1,174.109459,20.000000,58.000000,421.000000,810.000000,810.000000,810.000000
1554825250,52,810,126.837348,1,206.222409,25.000000,98.000000,623.000000,810.000000,810.000000,810.000000
1554825260,56,810,137.452282,1,222.163724,25.000000,98.000000,694.000000,810.000000,810.000000,810.000000
1554825270,60,810,127.518010,1,207.554782,37.000000,98.000000,694.000000,810.000000,810.000000,810.000000
1554825280,65,986,171.452196,1,277.045208,38.000000,208.000000,810.000000,986.000000,986.000000,986.000000
1554825290,70,998,201.407316,1,308.973561,38.000000,217.000000,986.000000,998.000000,998.000000,998.000000
1554825300,75,998,170.563407,1,289.026071,29.000000,98.000000,986.000000,998.000000,998.000000,998.000000
1554825310,80,998,166.715691,1,282.781435,28.000000,76.000000,810.000000,998.000000,998.000000,998.000000
1554825320,82,998,155.950738,1,275.506984,25.000000,65.000000,810.000000,998.000000,998.000000,998.000000
1554825330,87,998,187.076676,1,301.053203,27.000000,178.000000,961.000000,986.000000,998.000000,998.000000
1554825340,91,998,202.138523,1,301.941763,31.000000,361.000000,961.000000,986.000000,998.000000,998.000000
1554825350,95,998,179.322690,1,286.674971,25.000000,178.000000,961.000000,986.000000,998.000000,998.000000
1554825360,100,998,151.852744,1,268.670466,20.000000,160.000000,773.000000,986.000000,998.000000,998.000000
1554825370,104,998,132.762735,1,254.903351,19.000000,42.000000,725.000000,961.000000,986.000000,998.000000
1554825380,107,998,156.147836,1,269.104991,20.000000,160.000000,759.000000,961.000000,986.000000,998.000000
1554825390,109,998,168.021265,1,274.297948,20.000000,178.000000,759.000000,961.000000,986.000000,998.000000
1554825400,112,998,152.917425,1,261.084330,19.000000,99.000000,759.000000,961.000000,986.000000,998.000000
1554825410,116,998,181.080193,1,281.584011,23.000000,226.000000,897.000000,961.000000,986.000000,998.000000
1554825420,119,998,180.477865,1,273.136124,28.000000,314.000000,897.000000,897.000000,986.000000,998.000000
1554825430,123,998,162.331424,1,255.717589,27.000000,143.000000,773.000000,897.000000,961.000000,998.000000
1554825440,124,998,181.824193,1,266.155447,38.000000,314.000000,759.000000,897.000000,961.000000,998.000000
1554825450,125,998,201.738055,1,276.418680,42.000000,336.000000,759.000000,897.000000,961.000000,998.000000
