t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,1,1064,1064.000000,1064,0.000000,1064.000000,1064.000000,1064.000000,1064.000000,1064.000000,1064.000000
1554825133,29,1369,185.576167,0,438.324764,0.000000,33.000000,1330.000000,1369.000000,1369.000000,1369.000000
1554825143,133,1369,48.819844,0,216.980946,0.000000,11.000000,68.000000,1262.000000,1330.000000,1369.000000
1554825153,233,1369,38.771726,0,183.444373,0.000000,11.000000,111.000000,928.000000,1330.000000,1369.000000
1554825163,266,1378,52.273981,0,219.941859,0.000000,11.000000,131.000000,1193.000000,1356.000000,1378.000000
1554825173,274,1378,57.929060,0,218.751010,0.000000,22.000000,271.000000,1193.000000,1356.000000,1378.000000
1554825183,283,1378,75.329465,0,247.807274,0.000000,22.000000,327.000000,1262.000000,1370.000000,1378.000000
1554825193,328,1378,76.280279,0,246.995561,0.000000,22.000000,327.000000,1318.000000,1369.000000,1378.000000
1554825203,336,1378,90.301426,0,256.563364,0.000000,31.000000,742.000000,1262.000000,1356.000000,1378.000000
1554825213,340,1378,95.307532,0,266.382732,0.000000,31.000000,790.000000,1262.000000,1356.000000,1378.000000
1554825223,342,3756,145.236917,0,488.275092,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825233,343,3756,144.020850,0,486.406701,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825243,344,3756,142.739287,0,484.232296,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825253,344,3756,142.739287,0,484.232296,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825263,345,3756,141.222246,0,481.044301,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825273,345,3756,141.222246,0,481.044301,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825283,345,3756,141.222246,0,481.044301,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825293,345,3756,141.222246,0,481.044301,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825303,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825313,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825323,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825333,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825343,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825353,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825363,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825373,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825383,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825393,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825403,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825413,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825423,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825433,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825443,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825453,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825463,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
1554825473,346,3756,137.802803,0,475.680360,0.000000,33.000000,1016.000000,1370.000000,3267.000000,3756.000000
