t,count
1554825123,4
1554825133,10
1554825143,15
1554825153,20
1554825163,26
1554825173,31
1554825183,37
1554825193,42
1554825203,48
1554825213,55
1554825223,63
1554825233,73
1554825243,83
1554825253,91
1554825263,100
1554825273,110
1554825283,120
1554825293,130
1554825303,140
1554825313,150
1554825323,160
1554825333,170
1554825343,180
1554825353,190
1554825363,200
1554825373,210
1554825383,220
1554825393,230
1554825403,240
1554825413,249
1554825423,259
1554825433,269
1554825443,279
1554825453,289
1554825463,299
1554825473,309
