t,count
1554825123,3
1554825133,8
1554825143,14
1554825153,20
1554825163,25
1554825173,32
1554825183,37
1554825193,42
1554825203,49
1554825213,54
1554825223,60
1554825233,68
1554825243,73
1554825253,79
1554825263,84
1554825273,89
1554825283,95
1554825293,100
1554825303,108
1554825313,114
1554825323,123
1554825333,132
1554825343,142
1554825353,152
1554825363,162
1554825373,172
1554825383,182
1554825393,192
1554825403,202
1554825413,212
1554825423,222
1554825433,232
1554825443,242
1554825453,252
1554825463,262
1554825473,271
