t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,3,41,22.222366,6,14.564669,19.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1554825133,8,41,20.037473,2,17.493476,19.000000,41.000000,41.000000,41.000000,41.000000,41.000000
1554825143,12,367,48.759360,0,101.816643,15.000000,41.000000,367.000000,367.000000,367.000000,367.000000
1554825153,16,780,143.960842,0,245.508384,41.000000,52.000000,780.000000,780.000000,780.000000,780.000000
1554825163,21,780,108.758904,0,211.519267,41.000000,51.000000,612.000000,780.000000,780.000000,780.000000
1554825173,25,780,116.149523,0,219.044418,19.000000,51.000000,612.000000,780.000000,780.000000,780.000000
1554825183,30,970,139.149880,0,275.648910,11.000000,42.000000,970.000000,970.000000,970.000000,970.000000
1554825193,35,970,124.606695,0,247.642177,15.000000,51.000000,780.000000,970.000000,970.000000,970.000000
1554825203,39,970,159.288363,0,285.382230,15.000000,165.000000,948.000000,970.000000,970.000000,970.000000
1554825213,44,970,159.393223,0,289.737236,15.000000,165.000000,948.000000,970.000000,970.000000,970.000000
1554825223,47,970,186.099962,0,317.630242,15.000000,165.000000,959.000000,970.000000,970.000000,970.000000
1554825233,49,970,176.686043,0,305.544912,15.000000,156.000000,959.000000,970.000000,970.000000,970.000000
1554825243,54,970,146.031941,0,280.656692,15.000000,143.000000,948.000000,959.000000,970.000000,970.000000
1554825253,58,970,178.063196,0,292.860426,31.000000,156.000000,948.000000,959.000000,970.000000,970.000000
1554825263,63,970,167.824554,0,276.876736,31.000000,156.000000,780.000000,959.000000,970.000000,970.000000
1554825273,68,970,144.332911,0,256.498384,31.000000,121.000000,763.000000,959.000000,959.000000,970.000000
1554825283,73,970,121.617498,0,239.083303,21.000000,51.000000,763.000000,959.000000,959.000000,970.000000
1554825293,77,970,134.209818,0,232.908561,22.000000,121.000000,762.000000,948.000000,959.000000,970.000000
1554825303,80,970,129.588877,0,224.467791,22.000000,121.000000,762.000000,948.000000,959.000000,970.000000
1554825313,84,970,113.662817,0,211.999209,20.000000,52.000000,574.000000,948.000000,959.000000,970.000000
1554825323,88,970,132.903911,0,223.632271,20.000000,121.000000,594.000000,780.000000,959.000000,970.000000
1554825333,93,970,112.497929,0,208.449404,17.000000,51.000000,594.000000,763.000000,959.000000,970.000000
1554825343,98,970,95.951914,0,193.919964,15.000000,41.000000,594.000000,763.000000,948.000000,970.000000
1554825353,101,992,139.763248,0,258.926383,15.000000,51.000000,763.000000,992.000000,992.000000,992.000000
1554825363,102,992,155.489361,0,265.265871,16.000000,143.000000,763.000000,992.000000,992.000000,992.000000
1554825373,106,992,174.782453,0,275.363370,17.000000,366.000000,768.000000,992.000000,992.000000,992.000000
1554825383,108,992,184.612551,0,277.363826,18.000000,366.000000,768.000000,992.000000,992.000000,992.000000
1554825393,113,992,165.369656,0,260.071137,17.000000,364.000000,768.000000,992.000000,992.000000,992.000000
1554825403,115,992,174.973768,0,262.882602,17.000000,364.000000,768.000000,970.000000,992.000000,992.000000
1554825413,117,992,174.996860,0,255.545925,18.000000,364.000000,763.000000,959.000000,992.000000,992.000000
1554825423,121,992,203.543382,0,261.092916,22.000000,367.000000,662.000000,780.000000,992.000000,992.000000
1554825433,122,992,225.301306,0,273.406382,25.000000,462.000000,673.000000,768.000000,992.000000,992.000000
1554825443,125,992,277.619074,0,303.282358,121.000000,565.000000,790.000000,790.000000,992.000000,992.000000
1554825453,128,992,320.952112,0,318.628261,285.000000,566.000000,965.000000,965.000000,992.000000,992.000000
1554825463,131,992,303.780245,0,309.007346,282.000000,536.000000,959.000000,965.000000,965.000000,992.000000
1554825473,134,992,281.022600,0,296.433848,172.000000,516.000000,790.000000,965.000000,965.000000,992.000000
