t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,3,92,62.986735,41,21.109551,57.000000,92.000000,92.000000,92.000000,92.000000,92.000000
1554825133,8,289,69.981280,20,86.827444,24.000000,57.000000,289.000000,289.000000,289.000000,289.000000
1554825143,13,289,53.079270,20,68.817237,24.000000,52.000000,289.000000,289.000000,289.000000,289.000000
1554825153,18,289,44.325017,18,57.626619,32.000000,37.000000,92.000000,289.000000,289.000000,289.000000
1554825163,23,289,52.062733,14,75.670274,24.000000,37.000000,284.000000,289.000000,289.000000,289.000000
1554825173,28,289,45.486423,12,66.792523,29.000000,32.000000,284.000000,289.000000,289.000000,289.000000
1554825183,33,289,42.181209,11,59.883463,28.000000,33.000000,284.000000,289.000000,289.000000,289.000000
1554825193,38,289,42.474648,11,53.898542,29.000000,52.000000,92.000000,284.000000,289.000000,289.000000
1554825203,43,289,45.709390,11,50.659882,29.000000,56.000000,109.000000,284.000000,289.000000,289.000000
1554825213,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825223,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825233,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825243,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825253,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825263,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825273,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825283,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825293,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825303,45,444,73.977494,11,108.689871,32.000000,58.000000,365.000000,444.000000,444.000000,444.000000
1554825313,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825323,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825333,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825343,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825353,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825363,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825373,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825383,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825393,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825403,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825413,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825423,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825433,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825443,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825453,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825463,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
1554825473,46,826,189.882540,11,289.347481,41.000000,109.000000,826.000000,826.000000,826.000000,826.000000
