t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825118,1,1374,1374.000000,1374,0.000000,1374.000000,1374.000000,1374.000000,1374.000000,1374.000000,1374.000000
1554825128,6,1401,1128.784962,321,385.142142,1236.000000,1374.000000,1401.000000,1401.000000,1401.000000,1401.000000
1554825138,11,1573,851.900045,190,531.269213,1184.000000,1374.000000,1573.000000,1573.000000,1573.000000,1573.000000
1554825148,16,1593,893.220231,190,544.947342,1184.000000,1339.000000,1593.000000,1593.000000,1593.000000,1593.000000
1554825158,21,1593,842.771329,78,571.105062,1184.000000,1384.000000,1573.000000,1593.000000,1593.000000,1593.000000
1554825168,26,1593,830.111143,78,554.954196,496.000000,1379.000000,1573.000000,1593.000000,1593.000000,1593.000000
1554825178,31,1593,752.446250,0,554.326630,495.000000,1339.000000,1573.000000,1593.000000,1593.000000,1593.000000
1554825188,36,1593,727.071025,0,552.408714,495.000000,1339.000000,1565.000000,1593.000000,1593.000000,1593.000000
1554825198,41,1593,702.927417,0,527.762741,483.000000,1304.000000,1565.000000,1573.000000,1593.000000,1593.000000
1554825208,45,1593,628.257856,0,528.555549,380.000000,1184.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825218,45,1593,628.257856,0,528.555549,380.000000,1184.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825228,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825238,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825248,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825258,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825268,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825278,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825288,46,1593,606.095739,0,525.294241,369.000000,1065.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825298,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825308,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825318,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825328,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825338,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825348,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825358,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825368,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825379,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825388,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825398,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825409,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825418,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825428,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825438,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825448,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
1554825458,47,1593,558.444957,0,508.209653,282.000000,1054.000000,1440.000000,1573.000000,1593.000000,1593.000000
