t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825119,1,1208,1208.000000,1208,0.000000,1208.000000,1208.000000,1208.000000,1208.000000,1208.000000,1208.000000
1554825129,6,1464,1002.482984,185,513.227123,1333.000000,1378.000000,1464.000000,1464.000000,1464.000000,1464.000000
1554825139,11,1464,807.831683,149,557.111729,1182.000000,1370.000000,1464.000000,1464.000000,1464.000000,1464.000000
1554825149,16,1464,881.250238,149,533.155608,1182.000000,1333.000000,1464.000000,1464.000000,1464.000000,1464.000000
1554825159,21,1464,738.178294,22,534.351271,509.000000,1300.000000,1433.000000,1464.000000,1464.000000,1464.000000
1554825169,26,1464,773.381800,22,537.684565,968.000000,1333.000000,1433.000000,1464.000000,1464.000000,1464.000000
1554825179,31,1464,712.881291,22,525.547558,462.000000,1300.000000,1433.000000,1464.000000,1464.000000,1464.000000
1554825189,36,1464,652.776306,22,534.097867,318.000000,1300.000000,1462.000000,1462.000000,1464.000000,1464.000000
1554825199,41,1464,740.375106,22,535.048452,462.000000,1310.000000,1433.000000,1462.000000,1464.000000,1464.000000
1554825209,45,1464,688.248522,11,556.605500,398.000000,1310.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825219,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825229,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825239,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825249,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825259,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825269,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825279,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825289,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825299,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825309,46,1464,659.794629,11,561.261973,354.000000,1300.000000,1447.000000,1462.000000,1464.000000,1464.000000
1554825319,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825329,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825339,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825349,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825359,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825369,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825379,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825389,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825399,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825409,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825419,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825429,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825439,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825449,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825459,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
1554825469,47,1464,731.752793,11,536.570785,1055.000000,1229.000000,1447.000000,1462.000000,1462.000000,1464.000000
