t,count
1554825119,2
1554825129,12
1554825139,22
1554825149,31
1554825159,41
1554825169,51
1554825179,61
1554825189,71
1554825199,80
1554825209,90
1554825219,100
1554825229,110
1554825239,120
1554825249,130
1554825259,140
1554825269,150
1554825279,159
1554825289,169
1554825299,179
1554825309,189
1554825319,199
1554825329,209
1554825339,219
1554825349,229
1554825359,239
1554825369,249
1554825379,259
1554825389,269
1554825399,278
1554825409,288
1554825419,298
1554825429,308
1554825439,318
1554825449,328
1554825459,338
1554825469,348
