t,count
1554825119,7
1554825129,17
1554825139,26
1554825149,36
1554825159,45
1554825169,54
1554825179,63
1554825189,73
1554825199,83
1554825209,93
1554825219,103
1554825229,113
1554825239,123
1554825249,133
1554825259,143
1554825269,153
1554825279,162
1554825289,172
1554825299,182
1554825309,192
1554825319,202
1554825329,212
1554825339,222
1554825349,232
1554825359,242
1554825369,252
1554825379,262
1554825389,272
1554825399,281
1554825409,291
1554825419,301
1554825429,311
1554825439,321
1554825449,331
1554825459,341
1554825469,351
