t,count
1554825129,4
1554825139,10
1554825149,15
1554825159,21
1554825169,26
1554825179,32
1554825189,38
1554825199,43
1554825209,48
1554825219,53
1554825229,60
1554825239,65
1554825249,75
1554825259,85
1554825269,94
1554825279,103
1554825289,113
1554825299,123
1554825309,133
1554825319,143
1554825329,153
1554825339,163
1554825349,173
1554825359,182
1554825369,192
1554825379,202
1554825389,212
1554825399,222
1554825409,232
1554825419,241
1554825429,251
1554825439,261
1554825449,271
1554825459,281
1554825469,291
