t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825119,3,60,37.003116,8,21.373620,42.000000,60.000000,60.000000,60.000000,60.000000,60.000000
1554825129,7,457,97.620663,7,160.380820,41.000000,60.000000,457.000000,457.000000,457.000000,457.000000
1554825139,12,457,100.551052,4,166.339887,8.000000,72.000000,457.000000,457.000000,457.000000,457.000000
1554825149,17,457,73.917426,4,139.261039,17.000000,60.000000,457.000000,457.000000,457.000000,457.000000
1554825159,21,457,86.704924,4,153.177660,18.000000,60.000000,456.000000,457.000000,457.000000,457.000000
1554825169,25,847,127.972683,4,222.398248,18.000000,72.000000,847.000000,847.000000,847.000000,847.000000
1554825179,30,847,99.168684,4,200.021898,11.000000,42.000000,457.000000,847.000000,847.000000,847.000000
1554825189,34,847,110.634697,4,216.354162,10.000000,42.000000,642.000000,847.000000,847.000000,847.000000
1554825199,39,847,90.632347,4,196.373946,10.000000,39.000000,642.000000,847.000000,847.000000,847.000000
1554825209,44,847,90.856960,4,192.211899,10.000000,39.000000,457.000000,847.000000,847.000000,847.000000
1554825219,45,847,89.288574,4,188.224892,10.000000,39.000000,457.000000,642.000000,847.000000,847.000000
1554825229,46,847,104.932862,4,197.250349,10.000000,54.000000,457.000000,642.000000,847.000000,847.000000
1554825239,46,847,104.932862,4,197.250349,10.000000,54.000000,457.000000,642.000000,847.000000,847.000000
1554825249,46,847,104.932862,4,197.250349,10.000000,54.000000,457.000000,642.000000,847.000000,847.000000
1554825259,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825269,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825279,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825289,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825299,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825309,47,847,147.391263,4,243.733204,10.000000,72.000000,696.000000,696.000000,847.000000,847.000000
1554825319,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825329,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825339,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825349,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825359,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825369,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825379,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825389,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825399,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825409,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825419,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825429,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825439,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825449,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825459,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
1554825469,48,847,127.362220,4,229.687757,14.000000,54.000000,696.000000,696.000000,847.000000,847.000000
