t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825133,5,1631,741.591856,141,683.889851,269.000000,1568.000000,1631.000000,1631.000000,1631.000000,1631.000000
1554825143,10,1631,641.500868,101,622.159298,267.000000,1568.000000,1631.000000,1631.000000,1631.000000,1631.000000
1554825153,15,1631,537.932092,11,533.259936,267.000000,718.000000,1631.000000,1631.000000,1631.000000,1631.000000
1554825163,20,1631,597.552600,11,566.767720,268.000000,718.000000,1627.000000,1631.000000,1631.000000,1631.000000
1554825173,25,1631,559.101973,0,558.484745,269.000000,718.000000,1627.000000,1631.000000,1631.000000,1631.000000
1554825183,30,1631,494.688306,0,507.575115,278.000000,644.000000,1613.000000,1631.000000,1631.000000,1631.000000
1554825193,35,1631,582.264759,0,542.700678,342.000000,1116.000000,1613.000000,1627.000000,1631.000000,1631.000000
1554825203,40,1631,572.655159,0,511.972169,342.000000,1095.000000,1568.000000,1627.000000,1631.000000,1631.000000
1554825213,45,1631,504.576514,0,485.127540,278.000000,718.000000,1568.000000,1627.000000,1631.000000,1631.000000
1554825223,50,1631,538.148295,0,473.423538,349.000000,839.000000,1531.000000,1613.000000,1627.000000,1631.000000
1554825233,55,1631,509.073961,0,478.241773,278.000000,839.000000,1531.000000,1613.000000,1627.000000,1631.000000
1554825243,60,1631,551.310513,0,482.563251,278.000000,1078.000000,1406.000000,1613.000000,1627.000000,1631.000000
1554825253,65,1631,536.222043,0,472.670947,342.000000,944.000000,1397.000000,1568.000000,1627.000000,1631.000000
1554825263,70,1631,575.759597,0,486.742116,377.000000,1100.000000,1373.000000,1568.000000,1613.000000,1631.000000
1554825273,75,1631,564.017127,0,479.368645,363.000000,1100.000000,1360.000000,1531.000000,1613.000000,1631.000000
1554825283,80,1631,545.323929,0,480.336464,325.000000,1095.000000,1401.000000,1531.000000,1613.000000,1631.000000
1554825293,85,1631,520.124397,0,458.082675,305.000000,839.000000,1397.000000,1406.000000,1568.000000,1631.000000
1554825303,90,1631,567.547969,0,462.907993,363.000000,1078.000000,1401.000000,1401.000000,1568.000000,1631.000000
1554825313,95,1631,559.916853,0,440.964893,369.000000,944.000000,1401.000000,1401.000000,1531.000000,1631.000000
1554825323,100,1631,598.175220,0,445.317872,384.000000,996.000000,1401.000000,1401.000000,1531.000000,1631.000000
1554825333,105,1631,575.515904,0,457.885147,341.000000,996.000000,1401.000000,1411.000000,1531.000000,1631.000000
1554825343,110,1631,543.620841,0,454.669737,324.000000,996.000000,1401.000000,1411.000000,1411.000000,1631.000000
1554825353,115,1631,507.229036,0,430.220650,287.000000,736.000000,1401.000000,1411.000000,1411.000000,1627.000000
1554825363,120,1631,513.601814,0,421.598477,302.000000,822.000000,1373.000000,1411.000000,1411.000000,1627.000000
1554825373,125,1631,577.665108,0,447.601849,341.000000,1095.000000,1402.000000,1411.000000,1411.000000,1627.000000
1554825383,130,1631,625.427122,0,453.092776,378.000000,1100.000000,1401.000000,1402.000000,1411.000000,1627.000000
1554825393,135,1631,606.545388,0,455.671862,363.000000,1100.000000,1397.000000,1402.000000,1411.000000,1627.000000
1554825403,140,1631,573.985522,0,456.212246,305.000000,1100.000000,1356.000000,1402.000000,1411.000000,1627.000000
1554825413,145,1631,533.217700,0,438.577848,302.000000,990.000000,1267.000000,1402.000000,1411.000000,1613.000000
1554825423,150,1631,508.807304,0,423.536470,275.000000,833.000000,1256.000000,1402.000000,1411.000000,1613.000000
1554825433,155,1631,464.300641,0,408.064424,250.000000,736.000000,1256.000000,1402.000000,1402.000000,1613.000000
1554825443,160,1631,423.243963,0,392.619404,239.000000,581.000000,1249.000000,1401.000000,1402.000000,1568.000000
1554825453,165,1631,370.009927,0,387.041246,203.000000,465.000000,1249.000000,1401.000000,1402.000000,1568.000000
