t,count
1554825123,3
1554825133,8
1554825143,13
1554825153,19
1554825163,25
1554825173,30
1554825183,36
1554825193,41
1554825203,47
1554825213,56
1554825223,65
1554825233,75
1554825243,85
1554825253,94
1554825263,104
1554825273,114
1554825283,124
1554825293,134
1554825303,144
1554825313,154
1554825323,164
1554825333,174
1554825343,184
1554825353,194
1554825363,204
1554825373,214
1554825383,224
1554825393,234
1554825403,244
1554825413,254
1554825423,264
1554825433,274
1554825443,284
1554825453,294
