t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,2,1511,860.406757,190,660.425701,1511.000000,1511.000000,1511.000000,1511.000000,1511.000000,1511.000000
1554825133,7,1544,1083.834095,111,571.525270,1356.000000,1511.000000,1544.000000,1544.000000,1544.000000,1544.000000
1554825143,12,1544,804.164074,111,610.884397,281.000000,1394.000000,1544.000000,1544.000000,1544.000000,1544.000000
1554825153,17,1693,793.385924,111,633.802156,295.000000,1450.000000,1693.000000,1693.000000,1693.000000,1693.000000
1554825163,22,1693,840.554827,111,632.013245,295.000000,1499.000000,1549.000000,1693.000000,1693.000000,1693.000000
1554825173,27,1693,797.589893,68,643.460665,295.000000,1499.000000,1549.000000,1693.000000,1693.000000,1693.000000
1554825183,32,1693,815.787190,0,641.338822,295.000000,1450.000000,1549.000000,1693.000000,1693.000000,1693.000000
1554825193,37,1693,825.122250,0,623.332167,1087.000000,1450.000000,1554.000000,1693.000000,1693.000000,1693.000000
1554825203,42,1693,832.033055,0,601.709163,1178.000000,1396.000000,1554.000000,1554.000000,1693.000000,1693.000000
1554825213,44,1693,781.538470,0,604.317530,412.000000,1394.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825223,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825233,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825243,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825253,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825263,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825273,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825283,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825293,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825303,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825313,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825323,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825333,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825343,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825353,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825363,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825373,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825383,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825393,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825403,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825413,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825423,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825433,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825443,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
1554825453,45,1693,746.928767,0,608.937449,412.000000,1367.000000,1549.000000,1554.000000,1693.000000,1693.000000
