t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825133,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825143,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825153,1,567,567.000000,567,0.000000,567.000000,567.000000,567.000000,567.000000,567.000000,567.000000
1554825163,1,567,567.000000,567,0.000000,567.000000,567.000000,567.000000,567.000000,567.000000,567.000000
1554825173,1,567,567.000000,567,0.000000,567.000000,567.000000,567.000000,567.000000,567.000000,567.000000
1554825183,2,567,488.223439,443,59.687076,443.000000,567.000000,567.000000,567.000000,567.000000,567.000000
1554825193,3,676,566.591777,443,103.198172,567.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825203,3,676,566.591777,443,103.198172,567.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825213,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825223,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825233,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825243,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825253,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825263,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825273,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825283,4,676,541.081778,443,90.469549,493.000000,676.000000,676.000000,676.000000,676.000000,676.000000
1554825293,5,676,413.000030,305,132.578636,305.000000,493.000000,676.000000,676.000000,676.000000,676.000000
1554825303,5,676,413.000030,305,132.578636,305.000000,493.000000,676.000000,676.000000,676.000000,676.000000
1554825313,5,676,413.000030,305,132.578636,305.000000,493.000000,676.000000,676.000000,676.000000,676.000000
1554825323,5,676,413.000030,305,132.578636,305.000000,493.000000,676.000000,676.000000,676.000000,676.000000
1554825333,5,676,413.000030,305,132.578636,305.000000,493.000000,676.000000,676.000000,676.000000,676.000000
1554825343,6,891,661.374811,305,255.884587,891.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825353,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825363,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825373,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825383,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825393,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825403,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825413,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825423,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825433,7,891,561.852659,305,239.238497,397.000000,891.000000,891.000000,891.000000,891.000000,891.000000
1554825443,8,891,469.542267,305,163.180962,414.000000,414.000000,891.000000,891.000000,891.000000,891.000000
1554825453,8,891,469.542267,305,163.180962,414.000000,414.000000,891.000000,891.000000,891.000000,891.000000
