t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825123,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825133,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825143,1,689,689.000000,689,0.000000,689.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825153,2,689,565.050507,469,109.111923,469.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825163,2,689,565.050507,469,109.111923,469.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825173,2,689,565.050507,469,109.111923,469.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825183,2,689,565.050507,469,109.111923,469.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825193,2,689,565.050507,469,109.111923,469.000000,689.000000,689.000000,689.000000,689.000000,689.000000
1554825203,3,689,255.147293,3,288.932979,3.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825213,3,689,255.147293,3,288.932979,3.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825223,3,689,255.147293,3,288.932979,3.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825233,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825243,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825253,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825263,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825273,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825283,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825293,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825303,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825313,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825323,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825333,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825343,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825353,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825363,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825373,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825383,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825393,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825403,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825413,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825423,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825433,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825443,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
1554825453,4,689,244.139270,3,217.012048,230.000000,469.000000,689.000000,689.000000,689.000000,689.000000
