t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825126,3,1373,589.099132,79,553.612532,354.000000,1373.000000,1373.000000,1373.000000,1373.000000,1373.000000
1554825136,8,1622,1164.815734,79,537.962981,1373.000000,1544.000000,1622.000000,1622.000000,1622.000000,1622.000000
1554825146,13,1656,1064.317814,79,607.343076,1367.000000,1544.000000,1656.000000,1656.000000,1656.000000,1656.000000
1554825156,18,1656,851.512813,16,642.470720,1136.000000,1455.000000,1656.000000,1656.000000,1656.000000,1656.000000
1554825166,23,1656,806.575540,16,613.935386,514.000000,1373.000000,1622.000000,1656.000000,1656.000000,1656.000000
1554825176,28,1656,736.357428,16,590.547104,514.000000,1373.000000,1622.000000,1656.000000,1656.000000,1656.000000
1554825186,33,1656,663.632880,16,556.023827,315.000000,1356.000000,1556.000000,1656.000000,1656.000000,1656.000000
1554825196,38,1656,645.785286,16,533.635529,304.000000,1356.000000,1556.000000,1656.000000,1656.000000,1656.000000
1554825206,43,1656,628.204736,16,542.648236,313.000000,1186.000000,1595.000000,1622.000000,1656.000000,1656.000000
1554825216,48,1656,549.328951,16,517.909526,279.000000,997.000000,1595.000000,1622.000000,1656.000000,1656.000000
1554825226,50,1656,521.357100,16,507.743266,274.000000,677.000000,1595.000000,1622.000000,1656.000000,1656.000000
1554825236,51,1656,504.637185,16,503.781481,267.000000,666.000000,1595.000000,1622.000000,1656.000000,1656.000000
1554825246,51,1656,504.637185,16,503.781481,267.000000,666.000000,1595.000000,1622.000000,1656.000000,1656.000000
1554825256,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825266,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825276,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825286,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825296,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825306,52,1656,493.923640,16,490.662781,274.000000,666.000000,1556.000000,1622.000000,1656.000000,1656.000000
1554825316,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825326,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825336,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825346,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825356,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825366,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825376,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825386,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825396,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825406,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825416,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825426,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825436,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825446,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825456,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
1554825466,53,1656,480.617511,16,460.473110,293.000000,514.000000,1556.000000,1595.000000,1622.000000,1656.000000
