t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825119,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825129,5,1328,615.501069,11,424.102385,633.000000,654.000000,1328.000000,1328.000000,1328.000000,1328.000000
1554825139,10,1328,467.081790,11,343.758140,293.000000,654.000000,1328.000000,1328.000000,1328.000000,1328.000000
1554825149,15,1411,481.643135,11,397.964596,293.000000,654.000000,1411.000000,1411.000000,1411.000000,1411.000000
1554825159,20,1449,556.818358,11,457.729744,293.000000,689.000000,1449.000000,1449.000000,1449.000000,1449.000000
1554825169,25,1449,518.538036,11,472.781514,292.000000,654.000000,1411.000000,1449.000000,1449.000000,1449.000000
1554825179,30,1449,540.821648,11,477.114338,278.000000,1087.000000,1411.000000,1449.000000,1449.000000,1449.000000
1554825189,35,1449,500.762783,11,459.597911,272.000000,689.000000,1411.000000,1449.000000,1449.000000,1449.000000
1554825199,40,1449,528.527436,11,470.539794,278.000000,1033.000000,1411.000000,1449.000000,1449.000000,1449.000000
1554825209,45,1449,578.655308,11,460.781107,293.000000,1087.000000,1411.000000,1411.000000,1449.000000,1449.000000
1554825219,50,1449,586.684924,11,448.062936,297.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825229,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825239,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825249,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825259,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825269,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825279,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825289,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825299,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825309,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825319,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825329,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825339,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825349,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825359,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825369,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825379,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825389,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825399,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825409,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825419,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825429,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825439,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825449,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
1554825459,51,1449,564.256291,0,453.586745,292.000000,1022.000000,1328.000000,1411.000000,1449.000000,1449.000000
