t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825119,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825129,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825139,1,68,68.000000,68,0.000000,68.000000,68.000000,68.000000,68.000000,68.000000,68.000000
1554825149,1,68,68.000000,68,0.000000,68.000000,68.000000,68.000000,68.000000,68.000000,68.000000
1554825159,2,848,507.457293,68,386.851362,848.000000,848.000000,848.000000,848.000000,848.000000,848.000000
1554825169,3,848,535.365325,68,302.717487,578.000000,848.000000,848.000000,848.000000,848.000000,848.000000
1554825179,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825189,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825199,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825209,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825219,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825229,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825239,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825249,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825259,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825269,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825279,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825289,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825299,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825309,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825319,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825329,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825339,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825349,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825359,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825369,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825379,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825389,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825399,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825409,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825419,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825429,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825439,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825449,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
1554825459,4,848,575.461612,68,252.616502,654.000000,654.000000,848.000000,848.000000,848.000000,848.000000
