t,count
1554825119,2
1554825129,7
1554825139,13
1554825149,19
1554825159,24
1554825169,30
1554825179,35
1554825189,40
1554825199,46
1554825209,51
1554825219,56
1554825229,65
1554825239,70
1554825249,77
1554825259,82
1554825269,87
1554825279,92
1554825289,97
1554825299,105
1554825309,111
1554825319,119
1554825329,127
1554825339,136
1554825349,146
1554825359,156
1554825369,166
1554825379,176
1554825389,186
1554825399,196
1554825409,206
1554825419,216
1554825429,226
1554825439,236
1554825449,246
1554825459,256
