t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825119,2,85,59.117529,34,25.497132,34.000000,85.000000,85.000000,85.000000,85.000000,85.000000
1554825129,7,85,50.670461,33,17.578457,49.000000,68.000000,85.000000,85.000000,85.000000,85.000000
1554825139,12,85,41.931501,15,20.333432,34.000000,52.000000,85.000000,85.000000,85.000000,85.000000
1554825149,17,85,40.377517,2,23.825436,33.000000,65.000000,76.000000,85.000000,85.000000,85.000000
1554825159,22,85,37.232744,1,24.886700,33.000000,60.000000,76.000000,85.000000,85.000000,85.000000
1554825169,27,85,40.732817,1,23.386215,49.000000,59.000000,76.000000,85.000000,85.000000,85.000000
1554825179,32,98,43.029887,1,25.579323,40.000000,59.000000,85.000000,98.000000,98.000000,98.000000
1554825189,37,109,46.117965,1,27.793725,49.000000,65.000000,98.000000,109.000000,109.000000,109.000000
1554825199,42,109,46.728465,1,26.616167,52.000000,66.000000,98.000000,109.000000,109.000000,109.000000
1554825209,45,185,52.376492,1,37.760876,55.000000,68.000000,109.000000,185.000000,185.000000,185.000000
1554825219,47,886,99.401854,1,176.545211,56.000000,75.000000,365.000000,886.000000,886.000000,886.000000
1554825229,49,886,138.837647,1,224.291021,58.000000,85.000000,786.000000,886.000000,886.000000,886.000000
1554825239,50,886,132.393722,1,220.039710,57.000000,78.000000,786.000000,886.000000,886.000000,886.000000
1554825249,50,886,132.393722,1,220.039710,57.000000,78.000000,786.000000,886.000000,886.000000,886.000000
1554825259,51,928,180.753545,1,285.676725,58.000000,109.000000,928.000000,928.000000,928.000000,928.000000
1554825269,51,928,180.753545,1,285.676725,58.000000,109.000000,928.000000,928.000000,928.000000,928.000000
1554825279,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825289,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825299,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825309,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825319,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825329,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825339,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825349,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825359,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825369,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825379,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825389,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825399,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825409,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825419,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825429,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825439,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825449,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
1554825459,52,928,202.534779,1,284.964846,60.000000,256.000000,928.000000,928.000000,928.000000,928.000000
