t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825127,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825137,5,1416,1156.615277,257,442.041782,1367.000000,1378.000000,1416.000000,1416.000000,1416.000000,1416.000000
1554825147,10,1458,943.248543,118,546.167030,1333.000000,1416.000000,1458.000000,1458.000000,1458.000000,1458.000000
1554825157,15,1648,856.345364,63,573.381177,1195.000000,1416.000000,1648.000000,1648.000000,1648.000000,1648.000000
1554825167,20,1648,810.648664,63,558.700552,559.000000,1367.000000,1648.000000,1648.000000,1648.000000,1648.000000
1554825177,25,1648,829.002797,16,585.104859,1195.000000,1384.000000,1458.000000,1648.000000,1648.000000,1648.000000
1554825187,30,1648,794.712221,16,573.724671,559.000000,1367.000000,1458.000000,1648.000000,1648.000000,1648.000000
1554825197,35,1648,798.107179,16,574.149286,1195.000000,1355.000000,1458.000000,1648.000000,1648.000000,1648.000000
1554825207,40,1648,826.556653,16,576.922015,1261.000000,1356.000000,1484.000000,1484.000000,1648.000000,1648.000000
1554825217,45,1648,790.628212,16,558.349651,559.000000,1320.000000,1458.000000,1484.000000,1648.000000,1648.000000
1554825227,50,1648,848.239060,16,556.202258,1156.000000,1356.000000,1522.000000,1522.000000,1648.000000,1648.000000
1554825237,55,1648,824.877358,16,558.695630,1143.000000,1355.000000,1522.000000,1541.000000,1648.000000,1648.000000
1554825247,60,1648,813.967336,16,558.986591,1143.000000,1333.000000,1538.000000,1541.000000,1541.000000,1648.000000
1554825257,65,1648,856.678541,16,546.882700,1178.000000,1331.000000,1538.000000,1541.000000,1541.000000,1648.000000
1554825267,70,1648,887.332450,16,548.066697,1202.000000,1367.000000,1538.000000,1541.000000,1541.000000,1648.000000
1554825277,75,1648,919.049922,16,537.728822,1220.000000,1355.000000,1522.000000,1541.000000,1541.000000,1648.000000
1554825287,80,1649,934.764526,16,526.552327,1220.000000,1333.000000,1541.000000,1649.000000,1649.000000,1649.000000
1554825297,85,1649,894.781269,16,536.671164,1213.000000,1333.000000,1538.000000,1649.000000,1649.000000,1649.000000
1554825307,90,1649,866.353249,16,550.384541,1200.000000,1367.000000,1522.000000,1649.000000,1649.000000,1649.000000
1554825317,95,1649,830.540906,16,552.611968,1067.000000,1356.000000,1484.000000,1648.000000,1649.000000,1649.000000
1554825327,100,1649,775.684263,16,532.156767,612.000000,1323.000000,1471.000000,1541.000000,1649.000000,1649.000000
1554825337,105,1649,720.836959,16,537.129086,545.000000,1293.000000,1471.000000,1541.000000,1649.000000,1649.000000
1554825347,110,1649,713.126175,16,537.309888,467.000000,1280.000000,1458.000000,1538.000000,1649.000000,1649.000000
1554825357,115,1649,673.538308,16,525.743096,411.000000,1267.000000,1438.000000,1538.000000,1649.000000,1649.000000
1554825367,120,1649,615.906604,16,507.891220,322.000000,1201.000000,1438.000000,1522.000000,1541.000000,1649.000000
1554825377,125,1649,616.821699,16,488.796326,325.000000,1194.000000,1435.000000,1484.000000,1541.000000,1649.000000
1554825387,130,1649,592.095493,16,474.415795,322.000000,1067.000000,1435.000000,1471.000000,1541.000000,1649.000000
1554825397,135,1649,603.462957,16,462.844240,325.000000,1011.000000,1412.000000,1471.000000,1538.000000,1649.000000
1554825407,140,1649,622.278694,16,472.327333,389.000000,1111.000000,1412.000000,1458.000000,1538.000000,1649.000000
1554825417,145,1649,579.607941,0,465.865501,286.000000,972.000000,1390.000000,1438.000000,1522.000000,1649.000000
1554825427,150,1649,587.204099,0,444.863990,389.000000,910.000000,1380.000000,1438.000000,1484.000000,1649.000000
1554825437,155,1649,570.618954,0,438.231397,445.000000,910.000000,1333.000000,1435.000000,1471.000000,1649.000000
1554825447,160,1649,530.385173,0,432.563483,389.000000,890.000000,1297.000000,1435.000000,1471.000000,1649.000000
1554825457,164,1649,474.685719,0,435.250098,273.000000,815.000000,1278.000000,1412.000000,1458.000000,1649.000000
