t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825117,2,74,43.550034,14,29.996625,14.000000,74.000000,74.000000,74.000000,74.000000,74.000000
1554825127,7,74,35.319413,14,20.235930,34.000000,47.000000,74.000000,74.000000,74.000000,74.000000
1554825137,12,90,40.013700,11,23.250433,42.000000,47.000000,90.000000,90.000000,90.000000,90.000000
1554825147,17,105,43.180069,11,26.606347,39.000000,55.000000,105.000000,105.000000,105.000000,105.000000
1554825157,22,105,42.457390,11,23.302550,41.000000,53.000000,105.000000,105.000000,105.000000,105.000000
1554825167,27,105,48.422271,11,23.705255,47.000000,55.000000,90.000000,105.000000,105.000000,105.000000
1554825177,32,105,47.826175,11,21.903813,47.000000,55.000000,90.000000,105.000000,105.000000,105.000000
1554825187,37,105,49.648048,11,22.714145,48.000000,69.000000,89.000000,105.000000,105.000000,105.000000
1554825197,42,105,48.874285,11,21.996762,45.000000,69.000000,89.000000,90.000000,105.000000,105.000000
1554825207,47,171,53.530065,11,30.965117,47.000000,55.000000,105.000000,171.000000,171.000000,171.000000
1554825217,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825227,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825237,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825247,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825257,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825267,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825277,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825287,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825297,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825307,48,576,75.276235,11,108.663489,47.000000,72.000000,171.000000,576.000000,576.000000,576.000000
1554825317,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825327,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825337,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825347,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825357,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825367,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825377,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825387,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825397,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825407,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825417,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825427,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825437,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825447,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
1554825457,49,576,148.900744,11,202.235939,50.000000,89.000000,568.000000,576.000000,576.000000,576.000000
