t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825122,4,27,17.490296,4,8.503759,20.000000,20.000000,27.000000,27.000000,27.000000,27.000000
1554825132,9,134,43.377244,4,49.701634,20.000000,27.000000,134.000000,134.000000,134.000000,134.000000
1554825142,14,134,29.877470,1,41.556809,15.000000,20.000000,134.000000,134.000000,134.000000,134.000000
1554825152,18,134,31.788686,1,42.132938,14.000000,20.000000,134.000000,134.000000,134.000000,134.000000
1554825162,22,827,108.594717,1,223.138964,14.000000,27.000000,827.000000,827.000000,827.000000,827.000000
1554825172,27,827,82.710539,1,197.190715,13.000000,20.000000,533.000000,827.000000,827.000000,827.000000
1554825182,31,827,84.784908,1,186.430286,13.000000,27.000000,533.000000,827.000000,827.000000,827.000000
1554825192,35,827,119.266893,1,220.799979,14.000000,112.000000,721.000000,827.000000,827.000000,827.000000
1554825202,40,827,125.799957,1,234.107323,15.000000,34.000000,721.000000,827.000000,827.000000,827.000000
1554825212,43,827,150.331590,1,257.391314,20.000000,130.000000,784.000000,827.000000,827.000000,827.000000
1554825222,48,827,151.053364,1,257.817666,18.000000,130.000000,784.000000,784.000000,827.000000,827.000000
1554825232,51,827,219.712232,1,303.320012,21.000000,595.000000,779.000000,784.000000,827.000000,827.000000
1554825242,53,923,241.564008,1,327.955707,21.000000,595.000000,827.000000,923.000000,923.000000,923.000000
1554825252,58,923,216.563150,1,314.126037,16.000000,565.000000,784.000000,923.000000,923.000000,923.000000
1554825262,61,962,243.391489,1,333.422015,18.000000,565.000000,923.000000,962.000000,962.000000,962.000000
1554825272,66,962,221.821829,1,309.767350,20.000000,334.000000,923.000000,962.000000,962.000000,962.000000
1554825282,71,962,187.281934,1,290.238239,20.000000,311.000000,827.000000,962.000000,962.000000,962.000000
1554825292,76,962,158.904631,0,271.188067,20.000000,130.000000,784.000000,962.000000,962.000000,962.000000
1554825302,81,962,156.104926,0,253.908949,28.000000,295.000000,779.000000,923.000000,962.000000,962.000000
1554825312,83,962,155.300067,0,247.165711,28.000000,287.000000,779.000000,923.000000,962.000000,962.000000
1554825322,87,962,136.837667,0,233.549816,20.000000,130.000000,729.000000,923.000000,962.000000,962.000000
1554825332,88,962,160.111754,0,256.101982,24.000000,287.000000,729.000000,923.000000,962.000000,962.000000
1554825342,90,962,172.219631,0,248.841254,30.000000,302.000000,727.000000,923.000000,962.000000,962.000000
1554825352,91,962,207.413499,0,292.182982,35.000000,311.000000,953.000000,953.000000,962.000000,962.000000
1554825362,91,962,207.413499,0,292.182982,35.000000,311.000000,953.000000,953.000000,962.000000,962.000000
1554825372,91,962,207.413499,0,292.182982,35.000000,311.000000,953.000000,953.000000,962.000000,962.000000
1554825382,91,962,207.413499,0,292.182982,35.000000,311.000000,953.000000,953.000000,962.000000,962.000000
1554825392,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825402,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825412,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825422,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825432,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825442,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
1554825452,92,962,194.350256,0,284.122747,38.000000,302.000000,953.000000,953.000000,962.000000,962.000000
