t,count
1554825117,0
1554825127,20
1554825137,49
1554825147,76
1554825157,95
1554825167,122
1554825177,154
1554825187,187
1554825197,213
1554825207,252
1554825217,296
1554825227,330
1554825237,358
1554825247,412
1554825257,422
1554825267,435
1554825277,465
1554825287,479
1554825297,538
1554825307,552
1554825317,607
1554825327,615
1554825337,654
1554825347,668
1554825357,668
1554825367,668
1554825377,668
1554825387,668
1554825397,668
1554825407,668
1554825417,668
1554825427,668
1554825437,668
1554825447,668
1554825457,668
