t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825117,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825127,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825137,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825147,2,152,115.139658,76,37.982906,152.000000,152.000000,152.000000,152.000000,152.000000,152.000000
1554825157,6,304,182.861423,76,71.527734,152.000000,228.000000,304.000000,304.000000,304.000000,304.000000
1554825167,9,304,208.243874,76,69.607905,228.000000,228.000000,304.000000,304.000000,304.000000,304.000000
1554825177,11,304,221.818429,76,68.545026,228.000000,304.000000,304.000000,304.000000,304.000000,304.000000
1554825187,15,380,277.509901,76,93.552433,304.000000,380.000000,380.000000,380.000000,380.000000,380.000000
1554825197,18,456,320.296404,76,111.625950,380.000000,380.000000,456.000000,456.000000,456.000000,456.000000
1554825207,20,456,335.421671,76,109.811993,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825217,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825227,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825237,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825247,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825257,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825267,22,456,352.837547,76,110.061933,380.000000,456.000000,456.000000,456.000000,456.000000,456.000000
1554825277,24,608,411.593064,76,136.365257,456.000000,532.000000,608.000000,608.000000,608.000000,608.000000
1554825287,24,608,411.593064,76,136.365257,456.000000,532.000000,608.000000,608.000000,608.000000,608.000000
1554825297,24,608,411.593064,76,136.365257,456.000000,532.000000,608.000000,608.000000,608.000000,608.000000
1554825307,24,608,411.593064,76,136.365257,456.000000,532.000000,608.000000,608.000000,608.000000,608.000000
1554825317,24,608,411.593064,76,136.365257,456.000000,532.000000,608.000000,608.000000,608.000000,608.000000
1554825327,25,684,474.547310,76,165.782794,456.000000,608.000000,684.000000,684.000000,684.000000,684.000000
1554825337,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825347,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825357,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825367,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825377,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825387,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825397,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825407,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825417,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825427,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825437,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825447,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
1554825457,27,836,586.020868,76,205.855163,608.000000,760.000000,836.000000,836.000000,836.000000,836.000000
