t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554825107,12,1.807746,1.400000,1.400000,1.400000,events/second
1554825117,66,3.962904,1.880382,1.501821,1.434275,events/second
1554825127,149,5.585542,2.830732,1.717944,1.507907,events/second
1554825137,220,6.005477,3.512371,1.900754,1.571886,events/second
1554825147,285,6.108253,3.998534,2.057956,1.628535,events/second
1554825157,355,6.267675,4.458035,2.219921,1.687881,events/second
1554825167,430,6.454044,4.878977,2.383187,1.748788,events/second
1554825177,514,6.707426,5.435509,2.583747,1.823389,events/second
1554825187,594,6.857428,5.779954,2.751342,1.888308,events/second
1554825197,667,6.902143,6.071519,2.913441,1.952510,events/second
1554825207,733,6.873655,6.167363,3.037552,2.004965,events/second
1554825217,795,6.816569,6.169817,3.141120,2.051306,events/second
1554825227,858,6.775409,6.169336,3.241184,2.097123,events/second
1554825237,931,6.812924,6.325005,3.370860,2.153495,events/second
1554825247,1014,6.915572,6.675537,3.542346,2.224733,events/second
1554825257,1085,6.926838,6.612131,3.632507,2.269735,events/second
1554825267,1220,7.321400,7.693216,3.962258,2.396001,events/second
1554825277,1336,7.563582,8.311527,4.216068,2.498822,events/second
1554825287,1484,7.951053,9.113806,4.520677,2.620409,events/second
1554825297,1601,8.141656,9.638772,4.785112,2.730630,events/second
1554825307,1682,8.139601,9.537521,4.925778,2.800920,events/second
1554825317,1801,8.313971,9.769062,5.122593,2.890519,events/second
1554825327,1847,8.149454,9.233949,5.163706,2.929212,events/second
1554825337,1866,7.886111,8.109972,5.056791,2.917849,events/second
1554825347,1884,7.638605,7.141276,4.950021,2.905497,events/second
1554825357,1902,7.410725,6.290589,4.840194,2.891072,events/second
1554825367,1918,7.193485,5.567940,4.733859,2.876793,events/second
1554825377,1936,6.998220,4.988214,4.637621,2.864889,events/second
1554825387,1955,6.820619,4.513478,4.547844,2.854224,events/second
1554825397,1971,6.644726,4.066206,4.451202,2.840366,events/second
1554825407,1986,6.476855,3.685041,4.357619,2.826648,events/second
1554825417,2000,6.316617,3.334245,4.260657,2.810884,events/second
1554825427,2015,6.169221,3.037303,4.166873,2.795294,events/second
1554825437,2038,6.054067,2.939466,4.108948,2.790926,events/second
1554825447,2063,5.951203,2.855369,4.052868,2.786601,events/second
1554825457,2086,5.849118,2.772028,3.995484,2.781233,events/second
