t,count
1554825127,5
1554825137,11
1554825147,16
1554825157,22
1554825167,28
1554825177,33
1554825187,39
1554825197,44
1554825207,50
1554825217,56
1554825227,62
1554825237,68
1554825247,76
1554825257,82
1554825267,88
1554825277,93
1554825287,99
1554825297,105
1554825307,111
1554825317,121
1554825327,128
1554825337,135
1554825347,143
1554825357,152
1554825367,162
1554825377,172
1554825387,182
1554825397,192
1554825407,202
1554825417,212
1554825427,222
1554825437,231
1554825447,241
1554825457,251
