t,count
1554825107,3
1554825117,10
1554825127,15
1554825137,21
1554825147,26
1554825157,32
1554825167,37
1554825177,42
1554825187,48
1554825197,54
1554825207,60
1554825217,65
1554825227,73
1554825237,79
1554825247,85
1554825257,90
1554825267,95
1554825277,100
1554825287,105
1554825297,113
1554825307,119
1554825317,126
1554825327,134
1554825337,144
1554825347,154
1554825357,164
1554825367,174
1554825377,184
1554825387,194
1554825397,204
1554825407,214
1554825417,224
1554825427,234
1554825437,244
1554825447,254
1554825457,264
