t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825127,4,51,38.471820,15,14.095226,46.000000,46.000000,51.000000,51.000000,51.000000,51.000000
1554825137,8,992,364.953862,7,422.088802,51.000000,991.000000,992.000000,992.000000,992.000000,992.000000
1554825147,13,992,266.623245,7,368.612852,43.000000,589.000000,992.000000,992.000000,992.000000,992.000000
1554825157,18,992,290.931104,5,379.653994,37.000000,589.000000,991.000000,992.000000,992.000000,992.000000
1554825167,23,992,258.332496,5,347.174424,37.000000,584.000000,991.000000,992.000000,992.000000,992.000000
1554825177,28,992,198.660609,5,319.159683,22.000000,202.000000,991.000000,992.000000,992.000000,992.000000
1554825187,31,992,174.743939,5,300.962162,22.000000,51.000000,986.000000,992.000000,992.000000,992.000000
1554825197,36,992,146.379002,5,271.942288,23.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825207,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825217,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825227,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825237,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825247,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825257,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825267,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825277,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825287,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825297,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825307,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825317,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825327,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825337,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825347,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825357,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825367,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825377,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825387,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825397,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825407,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825417,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825427,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825437,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825447,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
1554825457,40,992,150.217990,5,266.200722,27.000000,78.000000,986.000000,991.000000,992.000000,992.000000
