t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825127,2,32,24.119991,16,7.999100,32.000000,32.000000,32.000000,32.000000,32.000000,32.000000
1554825137,7,47,26.799469,13,11.259849,30.000000,32.000000,47.000000,47.000000,47.000000,47.000000
1554825147,12,47,22.152051,13,10.715118,16.000000,30.000000,47.000000,47.000000,47.000000,47.000000
1554825157,17,47,22.384240,12,11.676809,16.000000,30.000000,47.000000,47.000000,47.000000,47.000000
1554825167,22,47,23.999534,10,11.257646,29.000000,33.000000,46.000000,47.000000,47.000000,47.000000
1554825177,27,47,25.740224,9,11.703901,30.000000,33.000000,46.000000,47.000000,47.000000,47.000000
1554825187,32,47,26.520683,9,11.558190,30.000000,34.000000,46.000000,47.000000,47.000000,47.000000
1554825197,37,50,29.467393,9,12.317875,32.000000,40.000000,49.000000,50.000000,50.000000,50.000000
1554825207,42,50,29.359285,9,11.376664,32.000000,34.000000,49.000000,50.000000,50.000000,50.000000
1554825217,47,93,33.459821,9,16.568084,32.000000,40.000000,57.000000,93.000000,93.000000,93.000000
1554825227,52,129,36.443291,9,24.367681,32.000000,41.000000,93.000000,129.000000,129.000000,129.000000
1554825237,57,129,35.905451,9,22.589750,32.000000,41.000000,93.000000,129.000000,129.000000,129.000000
1554825247,62,129,39.211495,9,22.418931,33.000000,48.000000,75.000000,129.000000,129.000000,129.000000
1554825257,67,129,42.820052,9,22.603701,40.000000,58.000000,75.000000,93.000000,129.000000,129.000000
1554825267,72,129,47.615539,9,24.010464,44.000000,67.000000,93.000000,95.000000,129.000000,129.000000
1554825277,77,159,47.069913,2,32.017629,43.000000,67.000000,95.000000,159.000000,159.000000,159.000000
1554825287,82,159,45.133430,2,30.410543,40.000000,58.000000,95.000000,159.000000,159.000000,159.000000
1554825297,87,159,49.096734,2,31.502941,46.000000,69.000000,114.000000,159.000000,159.000000,159.000000
1554825307,92,159,47.883424,2,29.737418,44.000000,60.000000,114.000000,129.000000,159.000000,159.000000
1554825317,97,159,46.791481,2,27.731443,41.000000,58.000000,95.000000,129.000000,159.000000,159.000000
1554825327,102,159,45.109624,2,26.538835,38.000000,58.000000,95.000000,114.000000,159.000000,159.000000
1554825337,107,159,42.596930,2,25.403223,33.000000,55.000000,85.000000,114.000000,159.000000,159.000000
1554825347,112,159,41.502321,2,24.179426,33.000000,55.000000,85.000000,114.000000,129.000000,159.000000
1554825357,117,159,41.212231,2,24.178199,33.000000,57.000000,75.000000,114.000000,129.000000,159.000000
1554825367,122,159,41.923712,2,24.374558,33.000000,57.000000,85.000000,114.000000,129.000000,159.000000
1554825377,127,159,38.547425,2,26.184080,32.000000,57.000000,85.000000,95.000000,114.000000,159.000000
1554825387,132,159,37.592401,2,24.876915,31.000000,57.000000,85.000000,95.000000,114.000000,159.000000
1554825397,137,159,37.964466,2,24.329348,30.000000,57.000000,74.000000,85.000000,114.000000,159.000000
1554825407,142,159,38.153617,2,23.735660,31.000000,57.000000,78.000000,85.000000,114.000000,159.000000
1554825417,147,962,65.461201,2,155.495500,33.000000,57.000000,85.000000,962.000000,962.000000,962.000000
1554825427,152,962,69.970110,2,146.605724,40.000000,61.000000,226.000000,962.000000,962.000000,962.000000
1554825437,157,962,96.282093,2,173.950128,44.000000,67.000000,370.000000,962.000000,962.000000,962.000000
1554825447,162,962,158.939783,2,235.449890,55.000000,199.000000,654.000000,918.000000,962.000000,962.000000
1554825457,166,962,196.461946,2,253.656600,59.000000,334.000000,750.000000,918.000000,962.000000,962.000000
