t,count
1554825113,3
1554825123,8
1554825133,13
1554825143,19
1554825153,25
1554825163,30
1554825173,36
1554825183,41
1554825193,46
1554825203,53
1554825213,58
1554825223,64
1554825233,72
1554825243,77
1554825253,83
1554825263,88
1554825273,93
1554825283,98
1554825293,103
1554825303,110
1554825313,116
1554825323,123
1554825333,128
1554825343,133
1554825353,138
1554825363,147
1554825373,154
1554825383,161
1554825393,167
1554825403,175
1554825413,182
1554825423,188
1554825433,197
1554825443,205
1554825453,212
1554825463,218
