t,count
1554825123,5
1554825133,10
1554825143,15
1554825153,20
1554825163,25
1554825173,30
1554825183,35
1554825193,40
1554825203,45
1554825213,50
1554825223,57
1554825233,67
1554825243,77
1554825253,87
1554825263,97
1554825273,106
1554825283,116
1554825293,126
1554825303,136
1554825313,146
1554825323,156
1554825333,166
1554825343,176
1554825353,186
1554825363,196
1554825373,206
1554825383,215
1554825393,225
1554825403,235
1554825413,245
1554825423,255
1554825433,264
1554825443,274
1554825453,284
1554825463,294
