t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825130,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825140,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825150,1,716,716.000000,716,0.000000,716.000000,716.000000,716.000000,716.000000,716.000000,716.000000
1554825160,1,716,716.000000,716,0.000000,716.000000,716.000000,716.000000,716.000000,716.000000,716.000000
1554825170,2,728,722.627695,716,5.967076,728.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554825180,2,728,722.627695,716,5.967076,728.000000,728.000000,728.000000,728.000000,728.000000,728.000000
1554825190,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825200,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825210,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825220,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825230,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825240,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825250,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825260,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825270,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825280,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825290,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825300,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825310,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825320,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825330,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825340,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825350,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825360,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825370,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825380,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825390,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825400,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825410,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825420,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825430,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825440,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
1554825450,4,920,760.389997,639,113.639716,728.000000,920.000000,920.000000,920.000000,920.000000,920.000000
