t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825100,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554825110,23,47,45.709484,42,2.187955,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825120,84,47,44.862611,42,2.473563,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825130,159,47,44.380521,42,2.497143,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825140,233,47,44.467307,42,2.499786,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825150,301,47,44.492175,42,2.499988,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825160,372,47,44.394613,42,2.497778,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825170,440,47,44.334089,42,2.494489,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825180,507,47,44.404947,42,2.498192,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825190,576,52,44.452712,42,2.529285,42.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825200,647,52,44.667466,42,2.518565,47.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825210,719,52,44.608684,42,2.517409,47.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825220,796,52,44.751718,42,2.503513,47.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825230,864,52,44.864072,42,2.487074,47.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825240,941,52,44.748472,42,2.498928,47.000000,47.000000,47.000000,47.000000,47.000000,52.000000
1554825250,999,52,44.738485,42,2.498410,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825260,1078,52,44.659670,42,2.503121,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825270,1153,52,44.565750,42,2.506179,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825280,1284,52,44.337414,42,2.500237,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825290,1451,52,44.243904,42,2.491041,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825300,1591,52,44.438080,42,2.502632,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825310,1749,52,44.316682,42,2.496062,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825320,2022,47,44.552892,42,2.499440,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825330,2196,47,44.385401,42,2.497372,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825340,2374,47,44.227537,42,2.485108,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825350,2499,47,43.808354,42,2.402421,42.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825360,2660,47,44.627212,42,2.496761,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825370,2864,47,45.383151,42,2.338813,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825380,2864,47,45.383151,42,2.338813,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825390,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825400,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825410,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825420,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825430,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825440,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
1554825450,3310,47,46.341705,42,1.690599,47.000000,47.000000,47.000000,47.000000,47.000000,47.000000
