t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554825130,4,96,55.545498,25,26.797952,41.000000,96.000000,96.000000,96.000000,96.000000,96.000000
1554825140,9,96,55.129076,24,23.860164,57.000000,61.000000,96.000000,96.000000,96.000000,96.000000
1554825150,14,96,53.286215,23,24.211745,57.000000,61.000000,96.000000,96.000000,96.000000,96.000000
1554825160,19,199,71.181411,23,43.220290,61.000000,91.000000,199.000000,199.000000,199.000000,199.000000
1554825170,24,199,64.578002,14,40.183109,60.000000,77.000000,109.000000,199.000000,199.000000,199.000000
1554825180,29,199,59.939719,11,37.205902,57.000000,67.000000,109.000000,199.000000,199.000000,199.000000
1554825190,34,199,59.229478,11,34.722855,60.000000,67.000000,109.000000,199.000000,199.000000,199.000000
1554825200,39,199,55.216306,11,33.393313,57.000000,66.000000,100.000000,199.000000,199.000000,199.000000
1554825210,44,199,53.384374,11,34.433982,48.000000,66.000000,118.000000,118.000000,199.000000,199.000000
1554825220,49,199,49.010223,2,33.407959,45.000000,62.000000,109.000000,118.000000,199.000000,199.000000
1554825230,54,199,44.887481,2,32.003934,42.000000,60.000000,100.000000,118.000000,199.000000,199.000000
1554825240,59,786,75.005471,2,141.704532,43.000000,62.000000,135.000000,786.000000,786.000000,786.000000
1554825250,60,786,96.077021,2,174.258893,43.000000,64.000000,621.000000,786.000000,786.000000,786.000000
1554825260,60,786,96.077021,2,174.258893,43.000000,64.000000,621.000000,786.000000,786.000000,786.000000
1554825270,61,786,104.971285,2,174.937133,45.000000,70.000000,621.000000,786.000000,786.000000,786.000000
1554825280,61,786,104.971285,2,174.937133,45.000000,70.000000,621.000000,786.000000,786.000000,786.000000
1554825290,61,786,104.971285,2,174.937133,45.000000,70.000000,621.000000,786.000000,786.000000,786.000000
1554825300,61,786,104.971285,2,174.937133,45.000000,70.000000,621.000000,786.000000,786.000000,786.000000
1554825310,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825320,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825330,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825340,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825350,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825360,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825370,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825380,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825390,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825400,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825410,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825420,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825430,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825440,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
1554825450,62,786,141.659436,2,211.019874,48.000000,100.000000,621.000000,786.000000,786.000000,786.000000
