t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1554824111,6,10.716660,0.000000,0.000000,0.000000,events/second
1554824121,99,9.395583,9.472071,9.573554,9.591136,events/second
1554824131,247,12.017542,10.250370,9.743204,9.648501,events/second
1554824141,448,14.645688,11.702978,10.069708,9.759576,events/second
1554824151,656,16.182515,13.222352,10.447716,9.890408,events/second
1554824161,769,15.215855,12.927245,10.478280,9.907015,events/second
1554824171,841,13.894339,12.029460,10.367390,9.875983,events/second
1554824181,914,12.961158,11.298926,10.266638,9.847498,events/second
1554824191,988,12.267727,10.697813,10.172549,9.820442,events/second
1554824201,1084,11.974819,10.514566,10.150528,9.816904,events/second
1554824211,1153,11.470843,9.969901,10.047023,9.785754,events/second
1554824221,1228,11.111316,9.552991,9.956664,9.758253,events/second
1554824231,1305,10.828573,9.281317,9.885851,9.736603,events/second
1554824241,1392,10.665454,9.172887,9.843532,9.724026,events/second
1554824251,1469,10.453445,8.978115,9.779843,9.703874,events/second
1554824261,1556,10.338074,8.981475,9.754276,9.696096,events/second
1554824271,1684,10.490991,9.411595,9.815988,9.717269,events/second
1554824281,1871,10.972125,10.927080,10.124179,9.822111,events/second
1554824291,2059,11.405726,12.090301,10.398799,9.918001,events/second
1554824301,2229,11.699984,13.021228,10.656875,10.010511,events/second
1554824311,2345,11.692999,12.822222,10.688614,10.028167,events/second
1554824321,2414,11.466370,11.934797,10.567960,9.994737,events/second
1554824331,2491,11.296080,11.287875,10.474073,9.969397,events/second
1554824341,2600,11.277678,11.193799,10.483939,9.978483,events/second
1554824351,2624,10.909215,9.855945,10.222058,9.895833,events/second
1554824361,2642,10.545850,8.604498,9.942699,9.805275,events/second
1554824371,2667,10.236763,7.666707,9.698671,9.724552,events/second
1554824381,2694,9.958887,6.903587,9.469200,9.646930,events/second
1554824391,2713,9.671178,6.150797,9.224330,9.562434,events/second
1554824401,2732,9.403512,5.482870,8.980932,9.476663,events/second
1554824411,2749,9.146549,4.902770,8.742262,9.390737,events/second
1554824421,2768,8.914110,4.457141,8.521224,9.309072,events/second
