t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824113,2,1251,788.668012,340,455.448761,340.000000,1251.000000,1251.000000,1251.000000,1251.000000,1251.000000
1554824123,7,1503,1006.248686,136,494.996135,1251.000000,1356.000000,1503.000000,1503.000000,1503.000000,1503.000000
1554824133,12,1503,807.601709,109,534.309097,1016.000000,1268.000000,1503.000000,1503.000000,1503.000000,1503.000000
1554824143,17,1536,823.475477,11,579.377016,1055.000000,1356.000000,1536.000000,1536.000000,1536.000000,1536.000000
1554824153,22,1536,725.175189,11,580.690219,347.000000,1356.000000,1503.000000,1536.000000,1536.000000,1536.000000
1554824163,27,1581,778.975738,11,583.210991,347.000000,1356.000000,1581.000000,1581.000000,1581.000000,1581.000000
1554824173,32,1581,779.214482,11,581.891638,444.000000,1356.000000,1541.000000,1581.000000,1581.000000,1581.000000
1554824183,37,1581,723.507855,11,567.740694,340.000000,1356.000000,1541.000000,1581.000000,1581.000000,1581.000000
1554824193,42,1581,814.731330,11,571.106126,444.000000,1356.000000,1556.000000,1581.000000,1581.000000,1581.000000
1554824203,47,1581,791.000716,11,572.493544,444.000000,1356.000000,1556.000000,1581.000000,1581.000000,1581.000000
1554824213,52,1581,864.649134,11,593.016518,1268.000000,1367.000000,1548.000000,1556.000000,1581.000000,1581.000000
1554824223,57,1611,871.860136,11,598.896119,1279.000000,1367.000000,1556.000000,1611.000000,1611.000000,1611.000000
1554824233,62,1611,964.420461,11,586.567095,1333.000000,1389.000000,1556.000000,1611.000000,1611.000000,1611.000000
1554824243,67,1611,1010.080350,11,583.297435,1333.000000,1534.000000,1578.000000,1611.000000,1611.000000,1611.000000
1554824253,72,1611,950.828981,11,625.875884,1333.000000,1534.000000,1578.000000,1611.000000,1611.000000,1611.000000
1554824263,77,1611,958.108209,11,623.503000,1333.000000,1534.000000,1567.000000,1581.000000,1611.000000,1611.000000
1554824273,82,1611,971.546085,11,610.563141,1344.000000,1534.000000,1567.000000,1581.000000,1611.000000,1611.000000
1554824283,87,1611,900.622429,11,612.541590,1333.000000,1512.000000,1567.000000,1578.000000,1611.000000,1611.000000
1554824293,92,1611,949.987599,11,613.104285,1333.000000,1533.000000,1578.000000,1606.000000,1611.000000,1611.000000
1554824303,97,1611,899.343225,11,622.965665,1297.000000,1479.000000,1578.000000,1606.000000,1606.000000,1611.000000
1554824313,102,1611,874.514732,11,628.654965,1279.000000,1512.000000,1567.000000,1606.000000,1606.000000,1611.000000
1554824323,107,1611,887.324968,11,625.582850,1297.000000,1489.000000,1558.000000,1606.000000,1606.000000,1611.000000
1554824333,112,1611,884.614692,11,594.035471,1033.000000,1448.000000,1556.000000,1606.000000,1606.000000,1611.000000
1554824343,117,1611,842.207782,11,583.245238,967.000000,1438.000000,1556.000000,1581.000000,1606.000000,1611.000000
1554824353,121,1611,755.246686,5,598.782092,401.000000,1378.000000,1556.000000,1578.000000,1606.000000,1611.000000
1554824363,126,1611,728.844936,5,580.585394,711.000000,1345.000000,1556.000000,1578.000000,1606.000000,1611.000000
1554824373,131,1611,717.486816,5,560.422901,711.000000,1297.000000,1556.000000,1567.000000,1606.000000,1611.000000
1554824383,136,1611,713.657551,5,525.935171,744.000000,1221.000000,1556.000000,1558.000000,1606.000000,1611.000000
1554824393,141,1611,629.721593,5,529.495582,384.000000,1134.000000,1546.000000,1556.000000,1578.000000,1611.000000
1554824403,146,1611,560.956321,5,519.502695,308.000000,967.000000,1536.000000,1556.000000,1578.000000,1611.000000
1554824413,151,1611,497.459211,5,505.798092,257.000000,848.000000,1522.000000,1556.000000,1567.000000,1611.000000
1554824423,156,1611,437.778066,5,490.957681,172.000000,784.000000,1489.000000,1556.000000,1567.000000,1611.000000
