t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824097,1,25,25.000000,25,0.000000,25.000000,25.000000,25.000000,25.000000,25.000000,25.000000
1554824107,6,1560,583.542548,11,623.995786,275.000000,1300.000000,1560.000000,1560.000000,1560.000000,1560.000000
1554824117,11,1560,421.770931,11,474.121274,267.000000,344.000000,1560.000000,1560.000000,1560.000000,1560.000000
1554824127,16,1600,622.706417,11,606.038634,275.000000,1333.000000,1600.000000,1600.000000,1600.000000,1600.000000
1554824137,21,1604,706.169056,11,661.221809,275.000000,1560.000000,1604.000000,1604.000000,1604.000000,1604.000000
1554824147,26,1604,582.037881,11,610.224579,275.000000,1315.000000,1600.000000,1604.000000,1604.000000,1604.000000
1554824157,31,1604,631.486236,11,601.127832,279.000000,1315.000000,1600.000000,1604.000000,1604.000000,1604.000000
1554824167,36,1699,656.891130,11,631.266002,279.000000,1333.000000,1604.000000,1699.000000,1699.000000,1699.000000
1554824177,41,1699,715.100744,11,647.395271,286.000000,1527.000000,1604.000000,1699.000000,1699.000000,1699.000000
1554824187,46,1699,689.501370,11,625.276099,356.000000,1526.000000,1600.000000,1699.000000,1699.000000,1699.000000
1554824197,51,1699,710.998401,11,594.750644,457.000000,1333.000000,1598.000000,1699.000000,1699.000000,1699.000000
1554824207,56,1699,765.664981,11,581.897369,582.000000,1322.000000,1598.000000,1604.000000,1699.000000,1699.000000
1554824217,61,1699,826.183645,11,582.278267,645.000000,1367.000000,1585.000000,1604.000000,1699.000000,1699.000000
1554824227,66,1699,831.791337,11,576.184230,903.000000,1356.000000,1578.000000,1604.000000,1699.000000,1699.000000
1554824237,71,1699,851.896439,11,563.971265,932.000000,1356.000000,1578.000000,1600.000000,1699.000000,1699.000000
1554824247,76,1699,831.463015,11,546.307133,789.000000,1344.000000,1578.000000,1600.000000,1604.000000,1699.000000
1554824257,81,1699,819.628756,11,559.389622,789.000000,1356.000000,1573.000000,1598.000000,1604.000000,1699.000000
1554824267,86,1699,815.937630,11,570.737052,789.000000,1356.000000,1556.000000,1585.000000,1604.000000,1699.000000
1554824277,91,1699,779.900914,11,583.603521,645.000000,1334.000000,1556.000000,1585.000000,1600.000000,1699.000000
1554824287,96,1699,736.137940,11,582.555264,457.000000,1334.000000,1556.000000,1578.000000,1600.000000,1699.000000
1554824297,101,1699,743.647007,11,577.771021,547.000000,1334.000000,1545.000000,1578.000000,1598.000000,1699.000000
1554824307,106,1699,732.391615,11,566.086172,522.000000,1316.000000,1545.000000,1573.000000,1585.000000,1699.000000
1554824317,111,1699,769.611744,11,589.546507,582.000000,1356.000000,1574.000000,1633.000000,1633.000000,1699.000000
1554824327,116,1699,774.836420,11,575.348589,789.000000,1344.000000,1574.000000,1633.000000,1633.000000,1699.000000
1554824337,121,1699,703.229206,11,562.517395,414.000000,1316.000000,1574.000000,1633.000000,1633.000000,1699.000000
1554824347,126,1699,679.492815,11,542.456252,414.000000,1275.000000,1560.000000,1633.000000,1633.000000,1699.000000
1554824357,131,1699,597.545689,11,542.586230,335.000000,1184.000000,1545.000000,1598.000000,1633.000000,1699.000000
1554824367,133,1699,571.675551,11,536.125296,299.000000,1167.000000,1545.000000,1585.000000,1633.000000,1699.000000
1554824377,134,1699,578.354440,11,528.073796,330.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
1554824387,135,1699,585.504469,11,518.446162,346.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
1554824397,135,1699,585.504469,11,518.446162,346.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
1554824407,135,1699,585.504469,11,518.446162,346.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
1554824417,135,1699,585.504469,11,518.446162,346.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
1554824427,135,1699,585.504469,11,518.446162,346.000000,1149.000000,1545.000000,1578.000000,1633.000000,1699.000000
