t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824098,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824108,5,1383,1123.607100,212,440.009877,1320.000000,1344.000000,1383.000000,1383.000000,1383.000000,1383.000000
1554824118,10,1383,868.404074,122,541.323361,1193.000000,1344.000000,1383.000000,1383.000000,1383.000000,1383.000000
1554824128,15,1596,721.535602,0,574.569936,336.000000,1344.000000,1596.000000,1596.000000,1596.000000,1596.000000
1554824138,20,1596,706.739794,0,559.094486,336.000000,1320.000000,1596.000000,1596.000000,1596.000000,1596.000000
1554824148,25,1596,699.138052,0,559.663536,369.000000,1311.000000,1392.000000,1596.000000,1596.000000,1596.000000
1554824158,30,1596,692.465347,0,543.423490,396.000000,1311.000000,1392.000000,1596.000000,1596.000000,1596.000000
1554824168,35,1596,703.335441,0,535.645529,396.000000,1293.000000,1392.000000,1596.000000,1596.000000,1596.000000
1554824178,40,1596,671.430543,0,527.615547,352.000000,1289.000000,1504.000000,1504.000000,1596.000000,1596.000000
1554824188,45,1596,625.117749,0,504.624985,336.000000,1152.000000,1392.000000,1504.000000,1596.000000,1596.000000
1554824198,50,1596,637.391858,0,519.061048,342.000000,1285.000000,1434.000000,1504.000000,1596.000000,1596.000000
1554824208,55,1596,577.631156,0,491.203954,308.000000,1148.000000,1434.000000,1504.000000,1504.000000,1596.000000
1554824218,60,1596,562.330278,0,480.668801,320.000000,1148.000000,1434.000000,1504.000000,1504.000000,1596.000000
1554824228,65,1596,525.309535,0,449.711530,308.000000,490.000000,1392.000000,1504.000000,1504.000000,1596.000000
1554824238,70,1596,542.097393,0,441.588632,352.000000,787.000000,1380.000000,1434.000000,1504.000000,1596.000000
1554824248,75,1596,535.762454,0,442.256039,371.000000,787.000000,1408.000000,1434.000000,1504.000000,1596.000000
1554824258,80,1596,567.801888,0,458.900397,371.000000,1002.000000,1419.000000,1434.000000,1504.000000,1596.000000
1554824268,85,1596,567.771628,0,478.616913,371.000000,1128.000000,1408.000000,1434.000000,1504.000000,1596.000000
1554824278,90,1596,559.011486,0,464.274992,352.000000,1128.000000,1408.000000,1419.000000,1434.000000,1596.000000
1554824288,95,1596,581.228509,0,453.205036,390.000000,1122.000000,1408.000000,1419.000000,1434.000000,1596.000000
1554824298,100,1596,583.213250,0,465.461661,394.000000,1122.000000,1380.000000,1419.000000,1434.000000,1596.000000
1554824308,105,1596,549.134905,0,462.348811,342.000000,1122.000000,1324.000000,1419.000000,1434.000000,1596.000000
1554824318,110,1596,554.525323,0,460.423801,371.000000,1103.000000,1419.000000,1432.000000,1432.000000,1596.000000
1554824328,115,1596,500.042273,0,447.987531,317.000000,758.000000,1408.000000,1432.000000,1432.000000,1596.000000
1554824338,120,1596,483.846488,0,433.133677,289.000000,625.000000,1344.000000,1432.000000,1432.000000,1596.000000
1554824348,125,1596,446.912218,0,411.310499,267.000000,535.000000,1322.000000,1432.000000,1432.000000,1504.000000
1554824358,128,1596,430.592166,0,397.003561,263.000000,490.000000,1322.000000,1432.000000,1432.000000,1504.000000
1554824368,129,1596,420.163851,0,394.375495,246.000000,487.000000,1322.000000,1432.000000,1432.000000,1504.000000
1554824378,130,1596,407.104978,0,392.823063,246.000000,487.000000,1322.000000,1432.000000,1432.000000,1504.000000
1554824388,130,1596,407.104978,0,392.823063,246.000000,487.000000,1322.000000,1432.000000,1432.000000,1504.000000
1554824398,131,1596,403.243519,0,382.805989,263.000000,431.000000,1312.000000,1419.000000,1432.000000,1504.000000
1554824408,131,1596,403.243519,0,382.805989,263.000000,431.000000,1312.000000,1419.000000,1432.000000,1504.000000
1554824418,131,1596,403.243519,0,382.805989,263.000000,431.000000,1312.000000,1419.000000,1432.000000,1504.000000
1554824428,131,1596,403.243519,0,382.805989,263.000000,431.000000,1312.000000,1419.000000,1432.000000,1504.000000
