t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824118,3,68,40.663050,21,19.640597,34.000000,68.000000,68.000000,68.000000,68.000000,68.000000
1554824128,6,551,127.261497,16,203.389949,34.000000,68.000000,551.000000,551.000000,551.000000,551.000000
1554824138,11,551,132.826670,14,199.670840,21.000000,148.000000,551.000000,551.000000,551.000000,551.000000
1554824148,16,551,96.608076,1,167.982162,17.000000,132.000000,551.000000,551.000000,551.000000,551.000000
1554824158,20,551,114.556685,1,184.010278,18.000000,114.000000,544.000000,551.000000,551.000000,551.000000
1554824168,24,943,141.072304,1,253.838056,17.000000,114.000000,943.000000,943.000000,943.000000,943.000000
1554824178,28,943,116.723646,1,230.846055,17.000000,68.000000,551.000000,943.000000,943.000000,943.000000
1554824188,33,943,122.059590,1,242.148686,15.000000,47.000000,706.000000,943.000000,943.000000,943.000000
1554824198,37,943,107.246597,1,222.533979,15.000000,47.000000,706.000000,943.000000,943.000000,943.000000
1554824208,42,943,109.262266,1,218.118975,17.000000,47.000000,706.000000,943.000000,943.000000,943.000000
1554824218,45,943,123.969901,1,220.283021,17.000000,100.000000,551.000000,706.000000,943.000000,943.000000
1554824228,50,943,142.321027,1,255.949561,22.000000,100.000000,917.000000,917.000000,943.000000,943.000000
1554824238,53,943,143.548939,1,243.891970,37.000000,114.000000,706.000000,917.000000,943.000000,943.000000
1554824248,56,943,139.301182,1,233.713564,32.000000,116.000000,706.000000,917.000000,943.000000,943.000000
1554824258,61,943,142.586791,1,243.198339,17.000000,114.000000,690.000000,917.000000,917.000000,943.000000
1554824268,65,943,160.818274,1,253.882991,26.000000,306.000000,705.000000,917.000000,917.000000,943.000000
1554824278,70,943,158.362372,1,258.910858,17.000000,132.000000,705.000000,917.000000,917.000000,943.000000
1554824288,75,943,142.503129,1,241.778194,16.000000,116.000000,705.000000,706.000000,917.000000,943.000000
1554824298,80,943,130.249255,1,227.160158,16.000000,114.000000,704.000000,706.000000,917.000000,943.000000
1554824308,83,943,164.280559,1,259.125891,16.000000,293.000000,704.000000,706.000000,917.000000,943.000000
1554824318,87,943,176.306758,1,262.609789,16.000000,302.000000,704.000000,705.000000,917.000000,943.000000
1554824328,90,943,158.763290,1,253.635059,16.000000,293.000000,692.000000,705.000000,917.000000,943.000000
1554824338,95,943,189.737224,1,271.463114,18.000000,302.000000,705.000000,874.000000,874.000000,943.000000
1554824348,100,943,175.038654,1,260.898189,18.000000,293.000000,705.000000,874.000000,874.000000,943.000000
1554824358,105,943,148.959488,1,246.145640,16.000000,278.000000,704.000000,874.000000,874.000000,943.000000
1554824368,109,943,152.328688,1,246.973583,16.000000,278.000000,692.000000,874.000000,874.000000,943.000000
1554824378,110,943,170.551015,1,258.021629,16.000000,293.000000,692.000000,874.000000,874.000000,943.000000
1554824388,110,943,170.551015,1,258.021629,16.000000,293.000000,692.000000,874.000000,874.000000,943.000000
1554824398,110,943,170.551015,1,258.021629,16.000000,293.000000,692.000000,874.000000,874.000000,943.000000
1554824408,111,943,161.485654,1,253.669450,16.000000,287.000000,692.000000,874.000000,874.000000,943.000000
1554824418,111,943,161.485654,1,253.669450,16.000000,287.000000,692.000000,874.000000,874.000000,943.000000
1554824428,111,943,161.485654,1,253.669450,16.000000,287.000000,692.000000,874.000000,874.000000,943.000000
