t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824119,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824129,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824139,1,802,802.000000,802,0.000000,802.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824149,1,802,802.000000,802,0.000000,802.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824159,1,802,802.000000,802,0.000000,802.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824169,1,802,802.000000,802,0.000000,802.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824179,1,802,802.000000,802,0.000000,802.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824189,2,802,262.154587,22,360.064372,22.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824199,2,802,262.154587,22,360.064372,22.000000,802.000000,802.000000,802.000000,802.000000,802.000000
1554824209,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824219,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824229,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824239,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824249,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824259,3,802,317.352893,22,271.113165,382.000000,382.000000,802.000000,802.000000,802.000000,802.000000
1554824269,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824279,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824289,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824299,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824309,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824319,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824329,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824339,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824349,4,974,678.355844,22,373.927254,974.000000,974.000000,974.000000,974.000000,974.000000,974.000000
1554824359,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824369,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824379,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824389,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824399,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824409,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824419,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
1554824429,5,979,878.691205,22,258.353146,979.000000,979.000000,979.000000,979.000000,979.000000,979.000000
