t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824114,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824124,1,130,130.000000,130,0.000000,130.000000,130.000000,130.000000,130.000000,130.000000,130.000000
1554824134,2,941,571.896782,130,403.863249,941.000000,941.000000,941.000000,941.000000,941.000000,941.000000
1554824144,3,941,680.013781,130,346.499562,856.000000,941.000000,941.000000,941.000000,941.000000,941.000000
1554824154,4,941,460.003040,12,423.184301,130.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824164,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824174,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824184,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824194,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824204,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824214,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824224,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824234,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824244,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824254,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824264,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824274,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824284,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824294,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824304,5,941,364.685130,12,393.773709,108.000000,856.000000,941.000000,941.000000,941.000000,941.000000
1554824314,6,941,297.105346,12,214.988090,270.000000,270.000000,856.000000,941.000000,941.000000,941.000000
1554824324,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824334,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824344,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824354,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824364,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824374,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824384,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824394,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824404,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824414,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
1554824424,7,941,434.868171,12,219.440369,601.000000,601.000000,856.000000,941.000000,941.000000,941.000000
