t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824114,2,76,50.117529,25,25.497132,25.000000,76.000000,76.000000,76.000000,76.000000,76.000000
1554824124,7,76,20.402622,1,23.655229,21.000000,25.000000,76.000000,76.000000,76.000000,76.000000
1554824134,12,76,34.171690,1,23.341331,37.000000,54.000000,76.000000,76.000000,76.000000,76.000000
1554824144,17,85,36.134269,1,23.952807,36.000000,54.000000,85.000000,85.000000,85.000000,85.000000
1554824154,22,85,36.610466,1,21.259282,36.000000,53.000000,85.000000,85.000000,85.000000,85.000000
1554824164,27,85,37.432748,1,19.651998,36.000000,51.000000,76.000000,85.000000,85.000000,85.000000
1554824174,32,91,38.210599,1,21.893087,36.000000,51.000000,85.000000,91.000000,91.000000,91.000000
1554824184,37,91,38.037796,1,19.850049,34.000000,50.000000,85.000000,91.000000,91.000000,91.000000
1554824194,42,91,36.404914,1,19.924584,36.000000,49.000000,76.000000,91.000000,91.000000,91.000000
1554824204,47,91,36.483285,1,20.735650,36.000000,49.000000,74.000000,91.000000,91.000000,91.000000
1554824214,52,91,35.919582,1,19.683736,39.000000,48.000000,74.000000,85.000000,91.000000,91.000000
1554824224,57,91,36.947396,1,18.086517,41.000000,47.000000,74.000000,85.000000,91.000000,91.000000
1554824234,62,91,35.784025,1,17.591778,40.000000,45.000000,54.000000,85.000000,91.000000,91.000000
1554824244,67,91,35.693077,1,16.407673,40.000000,45.000000,54.000000,76.000000,91.000000,91.000000
1554824254,72,789,58.666602,1,129.461245,40.000000,44.000000,74.000000,789.000000,789.000000,789.000000
1554824264,77,789,56.883830,1,119.166914,40.000000,46.000000,74.000000,789.000000,789.000000,789.000000
1554824274,82,789,55.365640,1,110.461546,40.000000,46.000000,107.000000,789.000000,789.000000,789.000000
1554824284,87,789,52.359282,1,102.203477,39.000000,46.000000,85.000000,107.000000,789.000000,789.000000
1554824294,92,789,49.188705,1,94.842051,38.000000,46.000000,74.000000,107.000000,789.000000,789.000000
1554824304,97,789,45.097213,1,88.198291,34.000000,44.000000,62.000000,107.000000,789.000000,789.000000
1554824314,102,789,42.791417,1,82.331131,34.000000,45.000000,62.000000,107.000000,789.000000,789.000000
1554824324,107,789,49.316447,1,96.308583,30.000000,45.000000,107.000000,386.000000,386.000000,789.000000
1554824334,112,789,47.132915,1,90.112513,30.000000,44.000000,97.000000,386.000000,386.000000,789.000000
1554824344,117,789,46.299838,1,84.107204,30.000000,44.000000,97.000000,386.000000,386.000000,789.000000
1554824354,122,789,46.214364,1,79.370321,31.000000,44.000000,122.000000,386.000000,386.000000,789.000000
1554824364,127,789,46.109920,1,74.005972,31.000000,46.000000,107.000000,386.000000,386.000000,789.000000
1554824374,132,789,46.652539,1,69.003728,34.000000,57.000000,97.000000,122.000000,386.000000,789.000000
1554824384,137,789,48.719640,1,69.533823,31.000000,59.000000,122.000000,187.000000,386.000000,789.000000
1554824394,141,789,71.867603,1,103.166997,39.000000,71.000000,218.000000,463.000000,463.000000,789.000000
1554824404,144,789,99.487297,1,142.966497,41.000000,97.000000,463.000000,595.000000,595.000000,789.000000
1554824414,146,789,119.752625,1,172.450379,46.000000,125.000000,595.000000,667.000000,667.000000,789.000000
1554824424,147,789,122.897105,1,170.138344,46.000000,129.000000,595.000000,667.000000,667.000000,789.000000
