t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824109,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824119,5,1372,448.956339,171,455.395902,267.000000,298.000000,1372.000000,1372.000000,1372.000000,1372.000000
1554824129,10,1378,464.880034,171,462.596091,267.000000,298.000000,1378.000000,1378.000000,1378.000000,1378.000000
1554824139,15,1533,635.377029,11,601.078012,267.000000,1378.000000,1533.000000,1533.000000,1533.000000,1533.000000
1554824149,20,1535,645.920179,11,596.264888,279.000000,1378.000000,1535.000000,1535.000000,1535.000000,1535.000000
1554824159,25,1668,728.979759,11,639.559066,279.000000,1451.000000,1668.000000,1668.000000,1668.000000,1668.000000
1554824169,30,1668,629.201835,11,606.827106,268.000000,1378.000000,1535.000000,1668.000000,1668.000000,1668.000000
1554824179,35,1668,624.682770,11,594.954335,268.000000,1378.000000,1535.000000,1668.000000,1668.000000,1668.000000
1554824189,40,1668,637.348887,11,592.957422,279.000000,1384.000000,1533.000000,1668.000000,1668.000000,1668.000000
1554824199,45,1668,552.605660,11,564.796402,267.000000,1237.000000,1533.000000,1668.000000,1668.000000,1668.000000
1554824209,50,1668,662.343340,11,582.879057,311.000000,1345.000000,1508.000000,1535.000000,1668.000000,1668.000000
1554824219,55,1668,675.606930,11,572.609726,317.000000,1345.000000,1508.000000,1535.000000,1668.000000,1668.000000
1554824229,60,1668,693.748366,11,568.637915,379.000000,1296.000000,1502.000000,1535.000000,1668.000000,1668.000000
1554824239,65,1668,749.477642,11,573.366558,474.000000,1296.000000,1535.000000,1594.000000,1594.000000,1668.000000
1554824249,70,1668,733.228788,11,540.013916,464.000000,1256.000000,1508.000000,1594.000000,1594.000000,1668.000000
1554824259,75,1668,639.709603,11,542.476776,371.000000,1222.000000,1502.000000,1594.000000,1594.000000,1668.000000
1554824269,80,1668,631.517875,11,537.238545,371.000000,1200.000000,1502.000000,1594.000000,1594.000000,1668.000000
1554824279,85,1668,593.623726,11,540.495465,268.000000,1200.000000,1456.000000,1594.000000,1594.000000,1668.000000
1554824289,90,1668,616.499338,11,539.334559,285.000000,1189.000000,1451.000000,1535.000000,1594.000000,1668.000000
1554824299,95,1668,641.106362,11,546.425188,317.000000,1222.000000,1412.000000,1533.000000,1594.000000,1668.000000
1554824309,100,1668,687.629931,11,532.897206,464.000000,1200.000000,1414.000000,1508.000000,1594.000000,1668.000000
1554824319,105,1668,651.671414,11,539.890799,408.000000,1189.000000,1433.000000,1502.000000,1594.000000,1668.000000
1554824329,110,1668,619.149180,11,528.447037,408.000000,1158.000000,1433.000000,1502.000000,1594.000000,1668.000000
1554824339,115,1668,573.530640,11,501.849547,296.000000,1086.000000,1414.000000,1456.000000,1535.000000,1668.000000
1554824349,120,1668,552.244847,11,488.165083,296.000000,1080.000000,1414.000000,1451.000000,1533.000000,1668.000000
1554824359,125,1668,502.513493,11,474.262701,287.000000,1010.000000,1412.000000,1433.000000,1508.000000,1668.000000
1554824369,129,1668,448.769373,11,469.656889,244.000000,803.000000,1379.000000,1433.000000,1502.000000,1668.000000
1554824379,131,1668,425.202907,11,464.052107,209.000000,567.000000,1378.000000,1433.000000,1502.000000,1668.000000
1554824389,132,1668,417.677040,11,457.530120,211.000000,567.000000,1378.000000,1433.000000,1502.000000,1668.000000
1554824399,133,1668,406.018782,11,451.028608,209.000000,567.000000,1378.000000,1433.000000,1456.000000,1668.000000
1554824409,133,1668,406.018782,11,451.028608,209.000000,567.000000,1378.000000,1433.000000,1456.000000,1668.000000
1554824419,133,1668,406.018782,11,451.028608,209.000000,567.000000,1378.000000,1433.000000,1456.000000,1668.000000
