t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824109,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824119,5,1257,575.226534,158,455.687460,288.000000,1038.000000,1257.000000,1257.000000,1257.000000,1257.000000
1554824129,10,1378,629.819597,156,474.976871,288.000000,1134.000000,1378.000000,1378.000000,1378.000000,1378.000000
1554824139,15,1378,462.385365,45,434.836786,288.000000,488.000000,1378.000000,1378.000000,1378.000000,1378.000000
1554824149,20,1378,515.038478,45,455.520233,275.000000,1038.000000,1367.000000,1378.000000,1378.000000,1378.000000
1554824159,25,1378,452.552967,45,407.141973,267.000000,436.000000,1367.000000,1378.000000,1378.000000,1378.000000
1554824169,30,1378,467.338258,45,406.637995,278.000000,436.000000,1367.000000,1378.000000,1378.000000,1378.000000
1554824179,35,1378,545.477010,44,450.415484,295.000000,1067.000000,1342.000000,1378.000000,1378.000000,1378.000000
1554824189,40,1378,479.479898,44,425.299995,292.000000,436.000000,1342.000000,1367.000000,1378.000000,1378.000000
1554824199,45,1397,637.204056,44,504.977663,336.000000,1222.000000,1378.000000,1397.000000,1397.000000,1397.000000
1554824209,50,1397,629.330131,11,509.914590,336.000000,1222.000000,1367.000000,1397.000000,1397.000000,1397.000000
1554824219,55,1397,673.215817,11,518.632924,413.000000,1278.000000,1350.000000,1397.000000,1397.000000,1397.000000
1554824229,60,1397,739.392561,11,520.349640,451.000000,1300.000000,1351.000000,1397.000000,1397.000000,1397.000000
1554824239,65,1408,747.272931,11,525.078802,1023.000000,1300.000000,1378.000000,1408.000000,1408.000000,1408.000000
1554824249,70,1408,728.258428,11,516.521494,451.000000,1288.000000,1367.000000,1408.000000,1408.000000,1408.000000
1554824259,75,1408,714.120617,11,506.644088,435.000000,1256.000000,1351.000000,1408.000000,1408.000000,1408.000000
1554824269,80,1408,658.903126,11,488.172487,378.000000,1185.000000,1351.000000,1397.000000,1408.000000,1408.000000
1554824279,85,1408,643.911966,11,492.396258,363.000000,1185.000000,1390.000000,1397.000000,1408.000000,1408.000000
1554824289,90,1408,634.837273,11,485.726787,378.000000,1126.000000,1378.000000,1397.000000,1408.000000,1408.000000
1554824299,95,1452,662.523602,11,495.502064,405.000000,1185.000000,1390.000000,1452.000000,1452.000000,1452.000000
1554824309,100,1452,634.635661,11,470.544441,445.000000,1122.000000,1390.000000,1452.000000,1452.000000,1452.000000
1554824319,105,1452,629.208187,11,473.908104,405.000000,1122.000000,1390.000000,1452.000000,1452.000000,1452.000000
1554824329,110,1452,621.308864,11,458.450802,370.000000,1067.000000,1351.000000,1408.000000,1452.000000,1452.000000
1554824339,115,1452,572.191275,11,442.653097,341.000000,1034.000000,1342.000000,1408.000000,1452.000000,1452.000000
1554824349,120,1452,605.439272,11,439.524879,378.000000,1034.000000,1332.000000,1397.000000,1452.000000,1452.000000
1554824359,125,1452,562.880761,11,425.434075,341.000000,1024.000000,1332.000000,1390.000000,1452.000000,1452.000000
1554824369,129,1452,516.459261,11,421.344831,314.000000,886.000000,1322.000000,1390.000000,1452.000000,1452.000000
1554824379,131,1452,501.489777,11,413.306741,314.000000,875.000000,1311.000000,1390.000000,1408.000000,1452.000000
1554824389,132,1452,503.582186,11,406.123625,322.000000,866.000000,1311.000000,1390.000000,1408.000000,1452.000000
1554824399,133,1452,495.128561,11,399.347414,313.000000,865.000000,1308.000000,1390.000000,1408.000000,1452.000000
1554824409,133,1452,495.128561,11,399.347414,313.000000,865.000000,1308.000000,1390.000000,1408.000000,1452.000000
1554824419,133,1452,495.128561,11,399.347414,313.000000,865.000000,1308.000000,1390.000000,1408.000000,1452.000000
