t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824109,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824119,5,1456,976.222206,156,457.624409,1116.000000,1267.000000,1456.000000,1456.000000,1456.000000,1456.000000
1554824129,10,1456,695.991838,22,504.191677,797.000000,1116.000000,1456.000000,1456.000000,1456.000000,1456.000000
1554824139,15,1495,697.504977,22,512.359726,797.000000,1208.000000,1495.000000,1495.000000,1495.000000,1495.000000
1554824149,20,1495,633.449683,22,503.954164,378.000000,1116.000000,1456.000000,1495.000000,1495.000000,1495.000000
1554824159,25,1495,610.340587,22,500.891770,317.000000,1116.000000,1471.000000,1495.000000,1495.000000,1495.000000
1554824169,30,1495,705.373734,22,509.519999,469.000000,1263.000000,1471.000000,1495.000000,1495.000000,1495.000000
1554824179,35,1495,643.137870,22,514.536198,378.000000,1263.000000,1471.000000,1495.000000,1495.000000,1495.000000
1554824189,40,1495,746.674632,22,522.313335,689.000000,1333.000000,1495.000000,1495.000000,1495.000000,1495.000000
1554824199,44,1515,698.571303,18,551.683417,688.000000,1333.000000,1495.000000,1515.000000,1515.000000,1515.000000
1554824209,49,1611,705.521883,18,539.625116,608.000000,1333.000000,1515.000000,1611.000000,1611.000000,1611.000000
1554824219,54,1611,776.151208,18,543.550847,769.000000,1347.000000,1515.000000,1611.000000,1611.000000,1611.000000
1554824229,59,1611,695.211310,11,539.769189,608.000000,1333.000000,1509.000000,1611.000000,1611.000000,1611.000000
1554824239,64,1611,704.630074,11,546.088828,467.000000,1344.000000,1509.000000,1611.000000,1611.000000,1611.000000
1554824249,69,1611,610.100449,0,547.140925,372.000000,1263.000000,1509.000000,1515.000000,1611.000000,1611.000000
1554824259,74,1611,554.426930,0,534.572100,370.000000,846.000000,1495.000000,1515.000000,1611.000000,1611.000000
1554824269,79,1611,572.675317,0,517.849660,370.000000,967.000000,1495.000000,1515.000000,1611.000000,1611.000000
1554824279,84,1611,570.036476,0,523.103507,370.000000,1116.000000,1456.000000,1509.000000,1611.000000,1611.000000
1554824289,89,1611,586.473437,0,511.026441,372.000000,1095.000000,1450.000000,1509.000000,1515.000000,1611.000000
1554824299,94,1611,596.331016,0,505.323010,377.000000,1138.000000,1444.000000,1509.000000,1515.000000,1611.000000
1554824309,99,1611,641.413942,0,516.163799,377.000000,1180.000000,1444.000000,1495.000000,1515.000000,1611.000000
1554824319,104,1611,671.413158,0,510.200251,394.000000,1180.000000,1430.000000,1495.000000,1515.000000,1611.000000
1554824329,109,1611,654.915440,0,506.191622,377.000000,1178.000000,1469.000000,1471.000000,1509.000000,1611.000000
1554824339,114,1611,669.963622,0,504.468987,431.000000,1195.000000,1450.000000,1469.000000,1509.000000,1611.000000
1554824349,119,1611,690.120896,0,481.375189,491.000000,1138.000000,1430.000000,1469.000000,1509.000000,1611.000000
1554824359,124,1611,629.111980,0,482.120278,457.000000,1083.000000,1426.000000,1469.000000,1495.000000,1611.000000
1554824369,128,1611,571.324885,0,480.311089,345.000000,1079.000000,1426.000000,1469.000000,1495.000000,1611.000000
1554824379,130,1611,549.191928,0,473.267895,314.000000,1070.000000,1399.000000,1469.000000,1495.000000,1611.000000
1554824389,131,1611,533.794927,0,471.793042,296.000000,1001.000000,1386.000000,1469.000000,1471.000000,1611.000000
1554824399,132,1611,511.863361,0,473.068408,286.000000,1001.000000,1357.000000,1469.000000,1471.000000,1611.000000
1554824409,132,1611,511.863361,0,473.068408,286.000000,1001.000000,1357.000000,1469.000000,1471.000000,1611.000000
1554824419,132,1611,511.863361,0,473.068408,286.000000,1001.000000,1357.000000,1469.000000,1471.000000,1611.000000
