t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824109,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824119,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824129,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554824139,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824149,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824159,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824169,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824179,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824189,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824199,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824209,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824219,1,109,109.000000,109,0.000000,109.000000,109.000000,109.000000,109.000000,109.000000,109.000000
1554824229,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824239,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824249,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824259,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824269,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824279,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824289,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824299,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824309,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824319,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824329,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824339,2,441,375.850293,109,131.853018,441.000000,441.000000,441.000000,441.000000,441.000000,441.000000
1554824349,3,666,619.510682,109,118.798808,666.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824359,3,666,619.510682,109,118.798808,666.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824369,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824379,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824389,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824399,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824409,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
1554824419,4,666,517.990933,109,129.922212,420.000000,666.000000,666.000000,666.000000,666.000000,666.000000
