t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824122,2,43,34.627490,26,8.499044,43.000000,43.000000,43.000000,43.000000,43.000000,43.000000
1554824132,7,43,36.524779,24,7.132874,40.000000,42.000000,43.000000,43.000000,43.000000,43.000000
1554824142,12,43,34.974950,20,7.115952,37.000000,40.000000,43.000000,43.000000,43.000000,43.000000
1554824152,17,43,32.220403,17,8.184467,33.000000,39.000000,42.000000,43.000000,43.000000,43.000000
1554824162,22,101,34.330905,16,18.431422,33.000000,38.000000,101.000000,101.000000,101.000000,101.000000
1554824172,27,101,31.634663,13,17.125722,32.000000,36.000000,43.000000,101.000000,101.000000,101.000000
1554824182,32,101,30.321115,12,15.614142,30.000000,35.000000,43.000000,101.000000,101.000000,101.000000
1554824192,37,101,27.413053,12,15.504114,29.000000,33.000000,42.000000,101.000000,101.000000,101.000000
1554824202,42,101,30.209924,12,16.660157,29.000000,35.000000,61.000000,101.000000,101.000000,101.000000
1554824212,47,101,29.687658,10,16.422038,29.000000,36.000000,61.000000,61.000000,101.000000,101.000000
1554824222,52,101,33.053578,10,17.591375,30.000000,42.000000,61.000000,61.000000,101.000000,101.000000
1554824232,57,101,35.055492,10,20.160998,29.000000,44.000000,61.000000,92.000000,101.000000,101.000000
1554824242,62,346,47.208136,10,56.923186,33.000000,53.000000,92.000000,346.000000,346.000000,346.000000
1554824252,67,346,44.419126,10,52.821596,33.000000,53.000000,92.000000,346.000000,346.000000,346.000000
1554824262,72,346,44.098185,10,48.716856,33.000000,53.000000,92.000000,346.000000,346.000000,346.000000
1554824272,77,392,53.860075,10,73.767807,37.000000,53.000000,101.000000,392.000000,392.000000,392.000000
1554824282,82,392,52.281218,10,69.289889,37.000000,53.000000,104.000000,392.000000,392.000000,392.000000
1554824292,87,392,50.550476,10,64.316245,37.000000,51.000000,104.000000,392.000000,392.000000,392.000000
1554824302,92,392,48.189344,10,59.872941,37.000000,51.000000,104.000000,346.000000,392.000000,392.000000
1554824312,97,392,54.364213,10,71.877245,39.000000,51.000000,311.000000,346.000000,392.000000,392.000000
1554824322,102,392,52.289455,9,67.104112,41.000000,53.000000,104.000000,346.000000,392.000000,392.000000
1554824332,107,392,49.177691,7,62.995735,41.000000,53.000000,104.000000,311.000000,392.000000,392.000000
1554824342,112,392,49.137728,7,58.632843,41.000000,56.000000,92.000000,311.000000,346.000000,392.000000
1554824352,117,479,80.853900,7,113.558396,45.000000,60.000000,438.000000,479.000000,479.000000,479.000000
1554824362,120,572,104.187614,7,141.631824,47.000000,73.000000,479.000000,572.000000,572.000000,572.000000
1554824372,121,767,126.741201,7,183.894363,48.000000,104.000000,572.000000,767.000000,767.000000,767.000000
1554824382,122,767,147.667745,7,208.825654,51.000000,138.000000,677.000000,767.000000,767.000000,767.000000
1554824392,122,767,147.667745,7,208.825654,51.000000,138.000000,677.000000,767.000000,767.000000,767.000000
1554824402,122,767,147.667745,7,208.825654,51.000000,138.000000,677.000000,767.000000,767.000000,767.000000
1554824412,122,767,147.667745,7,208.825654,51.000000,138.000000,677.000000,767.000000,767.000000,767.000000
1554824422,123,823,193.310998,7,263.442387,55.000000,311.000000,823.000000,823.000000,823.000000,823.000000
1554824432,123,823,193.310998,7,263.442387,55.000000,311.000000,823.000000,823.000000,823.000000,823.000000
