t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554824116,2,110,79.550034,50,29.996625,50.000000,110.000000,110.000000,110.000000,110.000000,110.000000
1554824126,7,110,56.819364,32,24.345827,50.000000,67.000000,110.000000,110.000000,110.000000,110.000000
1554824136,12,110,43.653096,1,24.930500,34.000000,50.000000,110.000000,110.000000,110.000000,110.000000
1554824146,17,110,46.870829,1,26.046182,46.000000,66.000000,90.000000,110.000000,110.000000,110.000000
1554824156,22,110,41.238277,1,23.712046,31.000000,50.000000,90.000000,110.000000,110.000000,110.000000
1554824166,27,110,37.683269,1,21.680351,30.000000,46.000000,90.000000,110.000000,110.000000,110.000000
1554824176,32,110,36.918613,1,20.060403,30.000000,46.000000,67.000000,90.000000,110.000000,110.000000
1554824186,37,110,35.413953,1,19.083962,30.000000,40.000000,67.000000,90.000000,110.000000,110.000000
1554824196,42,110,32.835856,1,18.142595,28.000000,38.000000,67.000000,90.000000,110.000000,110.000000
1554824206,47,184,36.163716,1,34.398435,27.000000,37.000000,90.000000,184.000000,184.000000,184.000000
1554824216,52,184,33.032108,1,33.389378,24.000000,37.000000,90.000000,184.000000,184.000000,184.000000
1554824226,57,184,34.536583,1,33.412285,24.000000,40.000000,89.000000,184.000000,184.000000,184.000000
1554824236,62,184,35.895216,1,33.903028,26.000000,42.000000,112.000000,184.000000,184.000000,184.000000
1554824246,67,184,36.237677,1,31.966109,26.000000,42.000000,90.000000,112.000000,184.000000,184.000000
1554824256,72,184,33.852055,1,30.689875,26.000000,41.000000,89.000000,112.000000,184.000000,184.000000
1554824266,77,184,30.117756,1,29.729492,24.000000,41.000000,89.000000,112.000000,184.000000,184.000000
1554824276,82,184,27.660883,1,28.119827,22.000000,35.000000,75.000000,112.000000,184.000000,184.000000
1554824286,87,515,39.934949,1,86.485579,20.000000,33.000000,112.000000,515.000000,515.000000,515.000000
1554824296,92,515,34.624465,1,80.836774,17.000000,26.000000,89.000000,515.000000,515.000000,515.000000
1554824306,97,515,30.296860,1,75.386833,15.000000,26.000000,89.000000,515.000000,515.000000,515.000000
1554824316,102,515,26.654975,1,70.228538,11.000000,23.000000,75.000000,184.000000,515.000000,515.000000
1554824326,107,515,23.143260,1,65.495171,9.000000,21.000000,70.000000,184.000000,515.000000,515.000000
1554824336,112,515,20.644320,1,60.908756,9.000000,18.000000,64.000000,112.000000,515.000000,515.000000
1554824346,117,515,20.123565,1,56.723378,8.000000,20.000000,53.000000,112.000000,515.000000,515.000000
1554824356,122,515,20.772239,1,53.131061,9.000000,26.000000,54.000000,89.000000,184.000000,515.000000
1554824366,127,515,19.862888,1,49.593171,8.000000,30.000000,54.000000,89.000000,184.000000,515.000000
1554824376,132,515,19.003546,1,46.378180,8.000000,31.000000,54.000000,75.000000,112.000000,515.000000
1554824386,137,515,26.115636,1,55.104377,9.000000,34.000000,67.000000,224.000000,224.000000,515.000000
1554824396,142,515,25.995790,1,51.628026,12.000000,33.000000,61.000000,224.000000,224.000000,515.000000
1554824406,147,515,69.325595,1,134.184572,15.000000,40.000000,459.000000,478.000000,478.000000,515.000000
1554824416,148,604,87.540744,1,163.705452,18.000000,45.000000,478.000000,604.000000,604.000000,604.000000
1554824426,149,656,107.969166,1,192.436487,23.000000,50.000000,604.000000,656.000000,656.000000,656.000000
