t,count
1554841163,0
1554841173,17
1554841183,53
1554841193,99
1554841203,149
1554841213,201
1554841223,235
1554841233,281
1554841243,340
1554841253,390
1554841263,435
1554841273,489
1554841283,537
1554841293,566
1554841303,616
1554841313,657
1554841323,714
1554841333,767
1554841343,809
1554841353,876
1554841363,922
1554841373,987
1554841383,1031
1554841393,1075
1554841403,1124
1554841413,1174
1554841423,1221
1554841433,1255
1554841443,1304
1554841453,1343
1554841463,1392
1554841473,1440
1554841483,1500
1554841493,1565
1554841503,1609
1554841513,1677
1554841523,1750
1554841533,1979
1554841543,2111
