t,count
1554841173,10
1554841183,20
1554841193,29
1554841203,39
1554841213,49
1554841223,59
1554841233,69
1554841243,79
1554841253,88
1554841263,98
1554841273,108
1554841283,118
1554841293,128
1554841303,138
1554841313,148
1554841323,158
1554841333,167
1554841343,177
1554841353,187
1554841363,197
1554841373,207
1554841383,217
1554841393,227
1554841403,237
1554841413,247
1554841423,257
1554841433,267
1554841443,277
1554841453,287
1554841463,297
1554841473,307
1554841483,317
1554841493,327
1554841503,337
1554841513,347
1554841523,357
1554841533,367
1554841543,377
