t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841173,1,60,60.000000,60,0.000000,60.000000,60.000000,60.000000,60.000000,60.000000,60.000000
1554841183,6,108,55.212514,22,28.880680,46.000000,65.000000,108.000000,108.000000,108.000000,108.000000
1554841193,11,108,48.382724,17,24.413666,46.000000,65.000000,108.000000,108.000000,108.000000,108.000000
1554841203,16,108,47.383661,17,21.886297,41.000000,60.000000,108.000000,108.000000,108.000000,108.000000
1554841213,21,108,55.450952,17,23.823040,60.000000,70.000000,105.000000,108.000000,108.000000,108.000000
1554841223,26,108,51.164576,17,23.623351,46.000000,65.000000,105.000000,108.000000,108.000000,108.000000
1554841233,31,108,49.780161,17,21.948077,41.000000,65.000000,105.000000,108.000000,108.000000,108.000000
1554841243,36,133,54.761613,17,26.383827,56.000000,66.000000,108.000000,133.000000,133.000000,133.000000
1554841253,41,133,49.474896,2,26.625385,39.000000,66.000000,105.000000,133.000000,133.000000,133.000000
1554841263,46,133,48.791432,1,26.459037,39.000000,66.000000,105.000000,133.000000,133.000000,133.000000
1554841273,51,133,47.576329,1,24.818204,41.000000,63.000000,73.000000,133.000000,133.000000,133.000000
1554841283,56,133,47.705488,1,23.851478,46.000000,63.000000,73.000000,108.000000,133.000000,133.000000
1554841293,61,235,52.286841,1,40.833655,45.000000,65.000000,108.000000,235.000000,235.000000,235.000000
1554841303,66,235,57.593721,1,41.596404,58.000000,66.000000,149.000000,235.000000,235.000000,235.000000
1554841313,71,235,50.476467,1,41.813199,45.000000,65.000000,149.000000,235.000000,235.000000,235.000000
1554841323,76,799,69.548545,1,133.428424,44.000000,65.000000,149.000000,799.000000,799.000000,799.000000
1554841333,81,799,66.496561,1,123.064968,45.000000,62.000000,149.000000,799.000000,799.000000,799.000000
1554841343,86,799,65.158686,1,114.119987,45.000000,63.000000,149.000000,799.000000,799.000000,799.000000
1554841353,91,799,60.777198,1,107.300715,44.000000,63.000000,133.000000,235.000000,799.000000,799.000000
1554841363,96,799,55.232452,1,100.737768,39.000000,62.000000,131.000000,235.000000,799.000000,799.000000
1554841373,101,799,52.716630,1,93.483078,42.000000,59.000000,131.000000,235.000000,799.000000,799.000000
1554841383,106,799,55.880479,1,89.942533,42.000000,61.000000,149.000000,191.000000,799.000000,799.000000
1554841393,111,799,52.547059,1,83.730079,40.000000,59.000000,133.000000,191.000000,235.000000,799.000000
1554841403,116,799,47.395326,1,78.782319,39.000000,58.000000,131.000000,191.000000,235.000000,799.000000
1554841413,120,799,42.657509,1,75.276877,30.000000,56.000000,131.000000,191.000000,235.000000,799.000000
1554841423,124,799,62.591761,1,113.038090,39.000000,59.000000,191.000000,535.000000,535.000000,799.000000
1554841433,127,799,83.033955,1,133.944693,39.000000,73.000000,478.000000,535.000000,535.000000,799.000000
1554841443,129,799,103.115345,1,167.414886,42.000000,74.000000,535.000000,646.000000,646.000000,799.000000
1554841453,129,799,103.115345,1,167.414886,42.000000,74.000000,535.000000,646.000000,646.000000,799.000000
1554841463,130,799,103.832604,1,163.855801,43.000000,91.000000,535.000000,646.000000,646.000000,799.000000
1554841473,130,799,103.832604,1,163.855801,43.000000,91.000000,535.000000,646.000000,646.000000,799.000000
1554841483,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841493,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841503,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841513,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841523,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841533,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
1554841543,131,799,111.281261,1,161.703206,50.000000,120.000000,535.000000,646.000000,646.000000,799.000000
