t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841173,5,78,58.893746,25,22.070117,74.000000,77.000000,78.000000,78.000000,78.000000,78.000000
1554841183,10,104,64.500654,25,21.300015,67.000000,77.000000,104.000000,104.000000,104.000000,104.000000
1554841193,15,117,64.519680,25,24.840094,67.000000,77.000000,117.000000,117.000000,117.000000,117.000000
1554841203,20,117,63.888221,25,24.505771,64.000000,74.000000,117.000000,117.000000,117.000000,117.000000
1554841213,25,117,56.038731,4,27.249606,60.000000,67.000000,104.000000,117.000000,117.000000,117.000000
1554841223,30,117,51.855792,4,27.224566,59.000000,66.000000,104.000000,117.000000,117.000000,117.000000
1554841233,35,117,43.871624,3,28.925048,39.000000,65.000000,100.000000,117.000000,117.000000,117.000000
1554841243,40,117,37.087679,2,29.371735,25.000000,62.000000,100.000000,104.000000,117.000000,117.000000
1554841253,45,117,36.156147,2,28.271333,25.000000,62.000000,78.000000,104.000000,117.000000,117.000000
1554841263,50,367,47.832233,2,69.155089,26.000000,60.000000,117.000000,367.000000,367.000000,367.000000
1554841273,55,367,45.116894,2,63.523583,25.000000,58.000000,104.000000,367.000000,367.000000,367.000000
1554841283,60,367,40.586757,2,59.076344,25.000000,51.000000,100.000000,367.000000,367.000000,367.000000
1554841293,65,367,41.721712,2,56.103226,25.000000,53.000000,116.000000,367.000000,367.000000,367.000000
1554841303,70,590,58.678334,2,111.472374,25.000000,58.000000,367.000000,590.000000,590.000000,590.000000
1554841313,75,590,55.955084,2,102.789101,29.000000,53.000000,116.000000,590.000000,590.000000,590.000000
1554841323,80,590,49.225006,2,95.957646,24.000000,51.000000,116.000000,590.000000,590.000000,590.000000
1554841333,85,590,57.790647,2,96.269030,29.000000,60.000000,272.000000,590.000000,590.000000,590.000000
1554841343,90,590,55.289598,2,90.152813,34.000000,64.000000,272.000000,367.000000,590.000000,590.000000
1554841353,95,590,49.784642,2,84.345880,25.000000,58.000000,116.000000,367.000000,590.000000,590.000000
1554841363,100,590,44.250532,2,79.258671,23.000000,51.000000,116.000000,272.000000,590.000000,590.000000
1554841373,105,590,45.143551,2,74.640631,26.000000,57.000000,103.000000,272.000000,590.000000,590.000000
1554841383,110,590,48.212957,2,72.959479,30.000000,64.000000,179.000000,272.000000,367.000000,590.000000
1554841393,115,590,46.294545,2,67.856737,30.000000,59.000000,116.000000,272.000000,367.000000,590.000000
1554841403,120,590,43.118507,2,63.718669,28.000000,57.000000,103.000000,272.000000,367.000000,590.000000
1554841413,125,590,38.276593,2,60.273598,25.000000,42.000000,103.000000,179.000000,272.000000,590.000000
1554841423,130,590,39.489700,2,56.509136,27.000000,46.000000,100.000000,179.000000,272.000000,590.000000
1554841433,135,590,46.215500,2,68.433704,27.000000,51.000000,179.000000,304.000000,304.000000,590.000000
1554841443,140,590,46.435200,2,63.950378,27.000000,61.000000,103.000000,304.000000,304.000000,590.000000
1554841453,145,590,46.630160,2,60.213225,30.000000,61.000000,103.000000,304.000000,304.000000,590.000000
1554841463,150,590,56.020491,2,62.506372,32.000000,70.000000,158.000000,304.000000,304.000000,590.000000
1554841473,155,590,95.985454,2,137.561106,38.000000,103.000000,494.000000,545.000000,545.000000,590.000000
1554841483,159,662,125.875966,2,183.293147,46.000000,117.000000,645.000000,662.000000,662.000000,662.000000
1554841493,164,942,181.968815,2,246.060556,60.000000,180.000000,714.000000,942.000000,942.000000,942.000000
1554841503,168,942,235.004716,2,294.808513,68.000000,473.000000,895.000000,942.000000,942.000000,942.000000
1554841513,171,942,275.177877,2,314.989117,89.000000,494.000000,910.000000,942.000000,942.000000,942.000000
1554841523,172,942,265.512931,2,313.420028,79.000000,494.000000,910.000000,942.000000,942.000000,942.000000
1554841533,172,942,265.512931,2,313.420028,79.000000,494.000000,910.000000,942.000000,942.000000,942.000000
1554841543,172,942,265.512931,2,313.420028,79.000000,494.000000,910.000000,942.000000,942.000000,942.000000
