t,count
1554841182,6
1554841192,16
1554841202,25
1554841212,35
1554841222,44
1554841232,54
1554841242,63
1554841252,73
1554841262,83
1554841272,93
1554841282,103
1554841292,112
1554841302,122
1554841312,132
1554841322,142
1554841332,152
1554841342,162
1554841352,172
1554841362,182
1554841372,192
1554841382,202
1554841392,212
1554841402,222
1554841412,232
1554841422,242
1554841432,252
1554841442,262
1554841452,272
1554841462,281
1554841472,291
1554841482,301
1554841492,311
1554841502,321
1554841512,331
1554841522,341
1554841532,351
