t,count
1554841192,6
1554841202,16
1554841212,25
1554841222,35
1554841232,44
1554841242,54
1554841252,64
1554841262,73
1554841272,83
1554841282,92
1554841292,102
1554841302,112
1554841312,121
1554841322,131
1554841332,141
1554841342,151
1554841352,161
1554841362,170
1554841372,179
1554841382,189
1554841392,199
1554841402,208
1554841412,218
1554841422,228
1554841432,238
1554841442,248
1554841452,257
1554841462,267
1554841472,276
1554841482,286
1554841492,296
1554841502,306
1554841512,315
1554841522,325
1554841532,335
