t,count
1554841172,4
1554841182,13
1554841192,23
1554841202,32
1554841212,42
1554841222,52
1554841232,62
1554841242,71
1554841252,80
1554841262,90
1554841272,100
1554841282,110
1554841292,120
1554841302,130
1554841312,140
1554841322,150
1554841332,160
1554841342,170
1554841352,180
1554841362,190
1554841372,200
1554841382,210
1554841392,220
1554841402,229
1554841412,239
1554841422,249
1554841432,258
1554841442,268
1554841452,278
1554841462,288
1554841472,298
1554841482,308
1554841492,318
1554841502,328
1554841512,338
1554841522,348
1554841532,358
