t,count
1554841186,6
1554841196,12
1554841206,17
1554841216,23
1554841226,28
1554841236,33
1554841246,39
1554841256,45
1554841266,50
1554841276,58
1554841286,63
1554841296,68
1554841306,77
1554841316,82
1554841326,88
1554841336,93
1554841346,98
1554841356,103
1554841366,108
1554841376,116
1554841386,121
1554841396,128
1554841406,133
1554841416,138
1554841426,144
1554841436,153
1554841446,161
1554841456,167
1554841466,173
1554841476,181
1554841486,189
1554841496,196
1554841506,204
1554841516,212
1554841526,219
1554841536,225
