t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841186,5,59,30.257227,15,15.758524,30.000000,30.000000,59.000000,59.000000,59.000000,59.000000
1554841196,8,59,32.060361,15,13.589946,30.000000,47.000000,59.000000,59.000000,59.000000,59.000000
1554841206,13,925,114.193843,3,263.234196,30.000000,44.000000,925.000000,925.000000,925.000000,925.000000
1554841216,17,925,94.204194,3,225.165761,30.000000,44.000000,925.000000,925.000000,925.000000,925.000000
1554841226,22,925,70.527976,2,192.258105,27.000000,42.000000,107.000000,925.000000,925.000000,925.000000
1554841236,27,925,102.855759,2,246.485271,27.000000,42.000000,903.000000,925.000000,925.000000,925.000000
1554841246,31,925,112.687005,2,242.444823,27.000000,42.000000,903.000000,925.000000,925.000000,925.000000
1554841256,36,925,92.714832,1,217.744196,27.000000,42.000000,903.000000,925.000000,925.000000,925.000000
1554841266,41,925,121.033259,1,254.515567,30.000000,44.000000,911.000000,911.000000,925.000000,925.000000
1554841276,46,925,137.454335,1,280.814734,30.000000,44.000000,903.000000,911.000000,925.000000,925.000000
1554841286,50,925,145.934525,1,285.816607,30.000000,44.000000,903.000000,911.000000,925.000000,925.000000
1554841296,54,925,150.330933,1,287.229847,27.000000,44.000000,903.000000,911.000000,925.000000,925.000000
1554841306,56,925,177.101007,1,311.397733,30.000000,94.000000,903.000000,911.000000,911.000000,925.000000
1554841316,60,925,152.587106,1,291.504290,26.000000,71.000000,903.000000,911.000000,911.000000,925.000000
1554841326,64,925,149.997777,1,279.163399,26.000000,71.000000,903.000000,911.000000,911.000000,925.000000
1554841336,69,925,145.070262,1,264.864174,23.000000,71.000000,891.000000,903.000000,911.000000,925.000000
1554841346,74,925,138.968172,1,251.415003,23.000000,76.000000,891.000000,903.000000,911.000000,925.000000
1554841356,79,925,118.268587,1,233.775063,22.000000,56.000000,737.000000,903.000000,911.000000,925.000000
1554841366,84,925,117.886791,1,224.894322,22.000000,62.000000,686.000000,903.000000,911.000000,925.000000
1554841376,86,925,126.397046,1,226.892144,22.000000,71.000000,686.000000,903.000000,903.000000,925.000000
1554841386,91,925,106.892002,1,210.848378,21.000000,56.000000,493.000000,891.000000,903.000000,925.000000
1554841396,94,925,96.557496,1,201.576347,19.000000,50.000000,493.000000,891.000000,903.000000,925.000000
1554841406,99,925,85.979886,1,185.158569,21.000000,45.000000,461.000000,891.000000,903.000000,925.000000
1554841416,104,925,74.777598,1,170.882914,18.000000,37.000000,460.000000,737.000000,903.000000,925.000000
1554841426,106,981,111.196568,1,235.035647,20.000000,50.000000,891.000000,981.000000,981.000000,981.000000
1554841436,106,981,111.196568,1,235.035647,20.000000,50.000000,891.000000,981.000000,981.000000,981.000000
1554841446,106,981,111.196568,1,235.035647,20.000000,50.000000,891.000000,981.000000,981.000000,981.000000
1554841456,106,981,111.196568,1,235.035647,20.000000,50.000000,891.000000,981.000000,981.000000,981.000000
1554841466,106,981,111.196568,1,235.035647,20.000000,50.000000,891.000000,981.000000,981.000000,981.000000
1554841476,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841486,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841496,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841506,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841516,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841526,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
1554841536,107,981,154.017824,1,278.381480,21.000000,71.000000,759.000000,981.000000,981.000000,981.000000
