t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1554841179,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841189,0,0,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1554841199,1,207,207.000000,207,0.000000,207.000000,207.000000,207.000000,207.000000,207.000000,207.000000
1554841209,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841219,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841229,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841239,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841249,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841259,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841269,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841279,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841289,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841299,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841309,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841319,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841329,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841339,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841349,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841359,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841369,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841379,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841389,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841399,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841409,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841419,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841429,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841439,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841449,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841459,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841469,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841479,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841489,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841499,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841509,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841519,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
1554841529,2,221,214.732311,207,6.961589,221.000000,221.000000,221.000000,221.000000,221.000000,221.000000
